TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
PEBB	5	1.49400012983e-06	0.335472141383	0.0131672065435	4.01100366883e-14	7.8149995653e-08	3.12325789092e-07	0.4537574186	2.53198020874e-11	0.00628037474239	1.68450419156e-18	0.000264260032911	0.357690374608	6.35577040002e-08	1.01001935307e-09	0.0865347588168
PPARA	4	2.2387504256e-08	3.53440444715e-08	2.38557057125e-06	9.26123053833e-05	9.38753644462e-17	1.33748541588e-16	0.0195447368475	1.58641939139e-11	0.167434334957	3.7189064997e-05	2.8528826412e-06	0.00929647392465	0.00062040787571	2.6493909914e-09	9.62783197179e-22
ING1	2	2.50736315969e-14	0.0151368196127	4.57627595325e-07	9.58462248355e-43	4.77003243101e-15	1.20269023793e-11	0.160762068657	4.28631618442e-09	9.79482169972e-11	7.11982046969e-41	6.05856011326e-13	0.155364531768	4.50456910422e-07	1.48595774746e-22	3.36612325546e-15
PHX2A	1	0.20837482741	0.483893471868	0.313459740128	0.116799282847	0.250644561937	0.45364804992	0.338818926573	0.498586270349	0.0908538972141	0.0685292700681	0.151764572406	0.309560680796	0.368468339874	0.0890038644732	0.0891315827722
PSIP1	3	0.247282455517	0.301052703095	0.194245604817	0.383697508329	0.190610642849	0.388152258399	0.4537574186	0.42003804128	0.447708576203	0.0627284851482	0.119360022847	0.24188049291	0.261648939445	0.237843827445	0.200230905788
TFAP4	1	3.97421824457e-10	0.000180648403067	0.247684956799	4.4718886609e-24	2.5621473193e-18	1.71438777902e-20	0.00311338287283	1.17355117027e-16	0.481831607761	1.32208277127e-20	4.05674340761e-05	0.168550811251	3.0502369195e-07	4.96784413034e-13	0.000115687827196
PTF1A	8	2.50231992557e-05	0.0947463397507	0.0351330087805	0.00104649033734	0.00241931743603	0.0140815322687	0.432941532742	0.000805252606024	0.4564419196	1.27483514641e-08	1.53106237871e-13	1.29684458954e-06	0.000133005089694	1.01381451935e-08	5.85511422994e-13
RING2	44	6.13166005214e-11	0.110230772837	0.339761029755	2.27271518693e-10	6.8849297477e-05	0.0116791186312	0.460059840265	0.00378987623297	0.0348675439486	5.56226756517e-23	4.65322129082e-31	2.95385142656e-13	2.12524886979e-11	8.8637299778e-19	1.77206930054e-28
RING1	2	1.29665799476e-08	0.0010003320943	0.433419388501	2.01420577634e-14	1.57494259278e-11	1.71244073764e-07	0.4805450952	0.000243435324574	0.00155107059122	1.34376966564e-19	8.2740630697e-14	0.0789057339491	8.50339758679e-07	1.88838431126e-15	6.30863108546e-16
PRDM4	4	0.173102617335	0.301712601356	0.411408678587	0.0104774194975	0.315222224863	0.45364804992	0.49617742537	0.197080510911	0.114787523873	0.0931971812731	0.169149318387	0.476515172185	0.130948061934	0.080216146773	0.13167634753
PRDM5	1	0.154477520965	0.401433711008	0.39447953654	0.444456305042	0.357002895506	0.199406527681	0.407362975994	0.498586270349	0.16862102706	0.0178278264279	0.0148498286118	0.174162280093	0.108459070584	0.069607695735	0.0737742667882
CBP	14	1.02642809307e-08	0.00124144634499	0.00599651208864	1.65339498623e-19	4.04751429498e-18	5.71248233798e-12	0.395975680284	1.09378012802e-16	0.257778518977	3.79966865493e-10	1.05625684214e-06	0.369181347488	0.00128069853688	3.2112919841e-08	7.44142121325e-17
PRDM1	3	0.0406317759987	0.0285575870965	0.165581250125	0.00211952779249	0.000755311988128	0.0802576430893	0.157175227629	1.9261437996e-05	0.0183489086159	0.220467246978	0.419515927339	0.303520215813	0.282024659944	0.307294361585	0.407128815733
TF2L1	1	0.000304038228614	0.123644898778	0.129654493166	6.91467546883e-07	5.00410217346e-06	0.000901646572359	0.499361202274	0.0218677334829	0.0230604317263	3.34080406559e-09	7.03423209088e-07	0.0814518910093	0.00467736314698	1.07574228669e-05	4.75480187108e-07
PRDM9	1	0.315395570235	0.457776483847	0.310443975259	0.387512423657	0.248260413174	0.416043202927	0.381255558993	0.120192500705	0.212275258493	0.359235747042	0.307437481459	0.349038930709	0.372782791107	0.390477213219	0.310423996215
ASH2L	2	2.93357407169e-12	1.20074095796e-09	0.00116079610858	7.97997620493e-33	8.78085218749e-27	5.77915610514e-35	0.0106699908028	8.76373136581e-19	0.0695065679827	2.03739414633e-17	0.312613720733	1.00159130465e-07	0.00193785647186	1.87749791426e-08	0.041057945031
SMAD4	2	0.0156630537706	0.0704934826456	0.005370192515	0.000310897290789	0.00337383679284	0.0112297546892	0.0213004166497	2.41780479234e-05	0.095554713372	0.0121741510725	0.0284128630432	0.453018906152	0.180840302739	0.0832259351455	0.103355758264
SMAD5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TLE1	1	0.216791529881	0.422506826085	0.226101199429	0.473897354716	0.42143927377	0.0681489515024	0.464890941997	0.198771479092	0.317055565919	0.320774992161	0.155075275655	0.0419836662807	0.368468339874	0.069607695735	0.248230922867
SMAD1	8	0.0385250603814	0.24905237908	0.310443975259	0.000531587591225	0.00104886117827	0.0855746012265	0.380467382725	0.17244364971	0.00153687146051	0.000166017364043	0.132131935275	0.24188049291	0.449247236222	0.0610228431751	0.29319242293
SMAD2	2	0.227840230389	0.468473696921	0.180456405535	0.356773464903	0.476098316717	0.302637538774	0.484957253549	0.365281386471	0.374307091128	0.197755799629	0.132391634363	0.200551949094	0.203950059166	0.0859246462375	0.0383123637841
SMAD3	11	4.97927124655e-11	0.042917807606	0.156075701138	4.80014493383e-20	2.13000809537e-12	5.18263049585e-06	0.484957253549	1.44159950165e-08	0.00125527567712	1.84638228448e-29	3.84124570263e-18	0.0139113909566	6.08773991555e-07	2.71514750812e-22	1.13360390982e-19
REL	5	1.22403195273e-06	0.0052395749721	3.52069106476e-05	5.860026505e-13	1.39643179907e-05	1.52161059783e-09	0.00915307761648	2.22431555158e-08	0.0329994394982	0.000804139796124	9.21440134465e-10	1.66021104096e-13	0.0128586299502	8.65549401463e-06	8.02108493495e-08
UTF1	3	1.37098846104e-07	0.0285389990175	0.00459180608845	1.19798052762e-09	7.08523911283e-09	1.96362717568e-06	0.0715437928504	1.11676579014e-06	0.471061530871	1.65158908082e-14	3.15065205349e-15	0.00142147562052	2.56749938621e-06	3.61493243374e-12	1.46866760983e-14
NCOA3	1	0.361626920527	0.291820110387	0.365820001365	0.442175183278	0.435173801936	0.46114348426	0.402816443749	0.198771479092	0.166899398282	0.391208148027	0.465667330163	0.491989404527	0.43161570906	0.328087865298	0.407128815733
NCOA1	1	0.0216448916526	0.00322253968002	0.00166174471554	0.00455254307091	0.126496196734	0.00278745398709	0.00810214063238	0.430565440271	0.00130103413001	0.00113825861849	0.0855862297958	0.214242373685	0.0932619493325	0.16418502961	0.397336182956
KANL3	4	2.32258248804e-16	1.16871112532e-05	1.57433146146e-05	1.06885392808e-30	1.77064505336e-17	2.86955273865e-22	0.243157322132	1.4568173131e-09	2.74285648895e-09	1.57026635417e-44	4.77270454766e-17	0.274387743685	2.06374410422e-09	2.20556211662e-32	1.46270038133e-22
SMC3	12	8.336745148e-08	0.00492536772636	0.0230883480365	1.5025186428e-16	4.94305164368e-14	3.54967943164e-07	0.00151506896712	4.68915182301e-12	0.173239226908	8.11166497605e-16	1.49200887719e-09	0.476515172185	0.00165549679689	3.34903382698e-10	6.63952064404e-09
SMC5	5	8.42231092738e-10	1.66850830324e-05	0.0424449750405	5.03630936758e-24	1.71211908452e-22	1.19336408464e-24	0.0007194510842	1.82656916934e-20	0.49694720285	8.53700109286e-11	0.189551996636	3.83318939908e-08	1.24241317369e-05	0.000825269395664	0.00298579775025
PO2F2	1	0.0667206262901	0.299265883511	0.156029612383	0.0160245421292	0.0476764282396	0.104243424776	0.262188766585	0.00333659524217	0.275239494753	0.0112623563401	0.208598713606	0.36307804678	0.00371680476375	0.0352661972879	0.346052289463
ELL3	1	0.00257992714973	0.181638348041	0.317603967667	5.53478393969e-07	0.0383787468327	0.362796565871	0.306717044468	0.00367867265819	0.0193999221653	4.66418155334e-08	7.53745717283e-05	0.0864638634221	0.0103434994384	8.31055010148e-05	0.000227611843374
ELL2	3	0.0719380458694	0.457776483847	0.274860706835	0.00103193848709	0.00385933869949	0.375382823555	0.439072641275	0.0339636376976	0.0184431216611	0.0298800597861	0.0533310872723	0.486809095521	0.128228200216	0.20019811277	0.0964860558291
MECP2	8	0.00119741151092	0.484358262522	7.38181646937e-06	0.437813367616	0.0505659233157	0.143640771557	0.00260872807787	0.000734079672415	0.0062931131032	0.000445903933083	8.9194671996e-08	0.00102916809499	0.0044909354895	0.000426399625598	1.15983350155e-06
RXRA	33	1.36180052144e-12	2.0042101428e-07	0.00443305649863	1.14943723506e-15	1.27727194354e-20	8.79222369053e-22	0.0820463848805	1.8589985916e-20	0.0495492396803	6.42294168952e-18	7.96624266792e-10	0.0660849467422	8.50339758679e-07	9.781945215e-18	3.09450927183e-29
SPIB	2	3.46681041492e-08	0.0266956652391	0.104081605327	2.79910213718e-21	1.80834441686e-12	8.53474863461e-21	0.00277184611934	5.97195354585e-19	0.22012474607	1.21180054114e-12	0.414358600835	1.17431715678e-06	8.84300163719e-06	0.000113126184619	0.14041250248
OLIG2	2	0.000973616285832	0.356539230834	0.305096599314	0.0123388134936	0.000646439312695	0.294442250208	0.438098430169	0.0368629603217	0.0821043791042	2.47728734626e-10	7.44157996272e-10	0.00730260152277	0.0125570520893	1.09527240243e-05	1.09654492992e-05
YAP1	1	0.257677238395	0.185319841228	0.392867239873	0.0646680390055	0.329372581165	0.252930521167	0.4537574186	0.1926812023	0.365958374487	0.346418904653	0.227344427078	0.195824185924	0.373987512832	0.281770594561	0.278945218653
MSGN1	1	0.307981085235	0.290574838606	0.484435604529	0.177852301502	0.457695009486	0.42295532556	0.25091954934	0.223388060904	0.125310212794	0.421739631455	0.499285371106	0.476481816416	0.134159302809	0.330813155845	0.455709757922
