TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
GATA1	49	1.4434557888	4.24270239812	0.393807744334	10.6297002464	7.92916155109	12.3990005967	3.89936454386	9.44683232392	-1.28211270678	-10.5965218616	-3.55286274577	2.18507226462	-5.05696422839	-6.03706401902	-4.39173506433
NOTC1	5	-0.642025664541	2.2725910423	1.89227628423	6.20390730442	5.79033580003	4.48204603882	2.11111517088	4.9072247674	-0.665448689231	-8.17470894926	-7.09556551764	-2.57075825002	-4.91896955954	-6.8028864916	-6.41951825435
CCND1	1	-1.84181932095	2.09681606801	-1.08823793186	8.15448200282	5.89926302759	5.40756232477	0.561272825681	4.89229872205	-3.35810546528	-11.1844008158	-9.25389268639	-3.81079916345	-5.92067314584	-9.21317927057	-8.96787698502
MAX	7	-0.136584995998	5.6683013321	-1.34104485133	12.769608501	9.57368868914	9.71634500361	-0.0143649162217	6.229380265	-5.10259847554	-11.333933452	-6.82019498084	0.885783146014	-5.15409695202	-8.78488227731	-8.20418097561
MAZ	2	-0.389907014205	0.227263389769	-1.34301998135	9.55826783427	6.00359942752	6.20332452952	1.57455390908	9.08256782216	-1.17804967923	-10.484238877	-5.09023091344	-0.854191180514	-6.4132274991	-7.7289376855	-5.01637929504
AHR	11	0.567853758583	2.32742480524	3.56325171567	3.05741065451	1.5104762246	2.17492570122	-0.0716024553319	0.0457731231116	-1.50043704268	-0.727324918022	-0.831791005942	0.92899369245	-1.35399553055	-0.178707144051	-0.994445200074
CSN1	2	-2.09277857881	0.985082846371	-2.11386928465	10.0400537919	6.13228562304	5.51837537447	-1.75031356728	5.68666241343	-4.99102591751	-12.1089057585	-8.48165753835	-2.23101028868	-5.84419236252	-10.263186825	-9.87719861005
MAF	6	4.1901088694	3.82889389369	-0.928270277054	10.9430887463	9.15730642517	9.88989535671	4.48472368892	10.2129438705	1.24145042529	-3.98386965802	3.36338937793	8.09776501189	-1.50976919441	-0.55112182366	4.41509832835
CTCF	116	0.300790590048	3.40982542006	4.56304274679	9.0277174981	7.89359113048	7.53107990788	3.94748785569	8.6239293831	1.13616020581	-10.5575716844	-8.14605171978	-1.46063119034	-5.18943612004	-8.27742685039	-8.29064832228
ATF7	1	-0.195474385157	1.17233602977	-1.01765978459	4.97394692806	3.76249832427	2.15941433084	-1.16359269943	4.32879622544	-0.6732064767	-3.79828584446	-2.40486518022	0.600299998723	-2.4440449593	-3.75250508257	-4.47977320203
BACH2	1	3.01061019394	1.68137818396	-1.3170179289	6.4920178305	4.20391297027	4.42779558404	2.32401765503	5.67090676358	1.19928299587	0.198535605647	4.35966616546	5.94738512987	0.377525594009	1.7532306757	4.82990549006
SOX17	8	-0.399583743642	4.20891737278	-1.36853523598	9.13731904221	5.30663242972	3.73740209887	-0.787877482566	3.14079423275	-5.68179787497	-6.39646052029	-4.01741705719	0.884054205238	-3.45356934046	-5.19653857496	-5.10709570614
ZIC2	2	-1.7821515981	-0.681505217474	1.50563098696	5.21697412996	2.54765555768	0.881522956086	-0.631699776359	2.30715674831	-2.53880477617	-6.80364706306	-6.42787837655	-3.78242223996	-4.62679391062	-5.73950042777	-6.17681096439
ZIC3	2	-0.794934139691	-0.739706312381	0.672408293766	-0.478543861535	0.34388084426	-0.373204024166	-0.775396183306	-0.259234555716	-0.315453052201	-1.43646714257	-2.01330724669	-1.08470622395	-1.34010765531	-1.4538789326	-1.87536190327
DMAP1	2	-0.529165771271	4.95905340628	-2.98569243123	10.8872407195	8.16943514564	8.31007386205	-0.79260195831	3.78822524358	-5.9560097343	-9.85340809327	-5.76290663048	0.715310803882	-4.28765285305	-7.91776396085	-6.68162431723
NFIL3	1	0.283463820089	4.06057978122	3.71977917902	0.323052687888	3.50567695835	2.90736219469	-2.69371485776	2.30172877234	-0.703472176288	0.531119655375	-1.33631194995	-1.56831632591	-0.63080606111	-1.66108485283	-4.78709952379
NR1H2	1	0.477904187965	1.05270685949	0.361692544481	1.83790619506	2.48941471342	2.54644815095	0.249965682478	2.3463774007	-0.199001209485	-1.35260386114	-0.498149207111	0.827612783196	-1.08247600475	-1.10746607575	-0.781769340034
PEBB	5	-0.356765290666	0.638506396277	-2.74347700543	7.59446018494	5.40397808583	5.1529884051	0.300775951745	6.78138098398	-2.85273059771	-8.85649119434	-3.64048402225	0.537552891538	-5.6330472004	-6.17578941574	-1.50233753286
PPARA	4	0.296472035818	5.96547948873	5.36068627853	3.85482201744	8.43764620597	8.39187922229	-2.69030068117	6.84813459714	-1.23085807462	-4.08445707447	-4.73135681614	-2.73176194542	-3.45617646067	-6.01348994431	-9.76963831185
ING1	2	-1.42409144822	2.50651981276	-5.70150054405	13.972709962	7.93672362757	6.86972581229	-1.61220069306	5.95244350182	-6.93197192854	-13.6981136952	-7.35024625862	1.31797263495	-5.22688297199	-9.98196249011	-7.99049704479
PHX2A	1	-0.566233980483	0.0852706194732	-0.742465873379	1.31425077798	0.759502048361	0.1646756881	-0.943460093112	0.0175050487328	-1.66421394701	-1.61118689537	-1.17770832118	-0.729433690254	-0.43687856397	-1.47317234315	-1.48996018199
PSIP1	3	-0.794247127762	-0.776701918508	-1.24716300172	-0.379368175686	-0.984036334633	-0.358607257842	-0.34060960598	-0.260761895483	-0.232379933223	-1.6638511858	-1.35259031057	-0.965539622578	-0.78512200615	-0.813528177141	-0.959200363354
TFAP4	1	1.03541240821	3.97967483069	-0.999596933963	10.2190413215	8.86199725576	9.41305761491	3.36911336201	8.43855858232	-0.0839241794482	-9.38807702317	-4.11869320213	1.2614466315	-5.30947430899	-7.30926878471	-3.83808145135
PTF1A	8	-1.35049588655	1.63217687674	2.31592171006	3.19723979834	2.96363407967	2.36244472053	0.455919677891	3.31754251343	0.173728318728	-5.69840719532	-7.54405046148	-5.10521626332	-3.88761126893	-5.78469286601	-7.30557205204
RING2	44	-3.53820299767	-1.54494109336	0.655910373138	6.34446761905	3.9577604375	-2.43820155924	-0.268984190162	2.82542576187	-2.14131676108	-9.9692334633	-11.8677675189	-7.59143493454	-7.14257274557	-8.99652295284	-11.35743094
RING1	2	-1.1764362699	3.4777644346	-0.303089226397	7.68114774774	6.81105246123	5.26986259425	0.140758277714	3.65552170832	-3.33076214507	-9.13746954308	-7.62540806472	-1.75716814337	-5.08518384244	-8.06163736996	-8.20549666738
PRDM4	4	-0.297905725072	-0.758572900237	0.373810474465	2.43282871855	0.563107038105	0.166329561731	0.0479673176883	0.988715468022	-1.51638325156	-1.43267164916	-1.09071800784	0.121401885864	-1.28866140907	-1.52965498622	-1.24817841135
PRDM5	1	-0.902206258397	-0.415468375017	0.427563737027	0.179488708505	0.432787171579	-0.999015285362	-0.634493224323	0.0215457207104	-1.22161657685	-2.21870017775	-2.34438303072	-1.23695075092	-1.41712713431	-1.60879967315	-1.595718727
CBP	14	0.659883564556	3.41020338507	3.05967286578	9.10780782091	8.80755208359	6.97918181109	-0.708431988055	8.44981863068	-0.868806556513	-6.28060496198	-4.9381357198	-0.493394513113	-3.23898246199	-5.57542453746	-8.47208595443
PRDM1	3	1.27729901542	2.22607071824	1.37955113933	2.9788005048	3.31993595346	1.56756821393	1.62663845052	4.29363033445	2.43805488705	-0.862416391809	-0.245901149108	0.75001040725	-0.715059508951	-0.586241694744	-0.288455648541
TF2L1	1	-0.663079480936	1.47800154693	1.56970387008	4.94369666418	4.56452352533	3.28796207426	0.0145101483001	2.1722284765	-2.33033336736	-5.92932763013	-5.02208054925	-1.74046203082	-2.80724359639	-4.40567764765	-5.07861421709
PRDM9	1	0.183405126705	0.169893784811	0.755893408957	0.364910614338	0.769480005314	0.273638941686	0.778212989376	1.32094675367	1.02676117822	-0.422770731273	-0.584060502663	-0.565810269468	-0.412783675891	-0.334686385189	-0.571954338017
ASH2L	2	2.46211824111	6.57991870657	-3.73419970309	12.0969752306	10.975836323	12.595707539	2.93961759399	9.02314684379	-1.81323040659	-8.55402006682	-0.567853749212	5.600997778	-3.10759748231	-5.67324939342	-1.89239383791
SMAD4	2	1.00537189244	1.79719990573	3.10436351217	3.54225342253	2.85566486881	2.45548975242	2.65402754381	4.24018077368	1.63211730316	-2.36700050757	-2.07345278263	0.219022711765	-1.0723517346	-1.50795676585	-1.40435150925
SMAD5	1	-0.124430963706	0.241622087184	0.254025600632	1.06452919424	0.299154314826	2.28823129937	-0.790795646283	1.32972396366	-0.862248104848	-1.25038961209	-0.0725615885681	0.810309582366	-1.34412645723	-2.22799581786	-1.48151230727
TLE1	1	0.832919304344	0.313705072735	1.11004497195	-0.081240048556	0.234986884011	1.65745420294	0.210238636122	0.96891559805	0.648500303709	0.544162020373	1.15233035642	2.08899914517	0.425740636809	1.60836678792	0.778665693162
SMAD1	8	0.0288799107955	0.954225368082	-0.755900609883	3.40081650583	3.22753315373	1.53275668911	0.796739904001	1.08511692362	-3.34134716332	-3.71310534208	-1.27395244904	0.965032014203	-0.165198811752	-1.68351447959	-0.624882951751
SMAD2	2	-0.520117009642	0.135826545688	1.30652821399	-0.459852738903	0.0758249480644	-0.640074531243	0.101010710635	0.418556657982	-0.450099596235	-0.947623239854	-1.27287668586	-1.13337883015	-0.985419877995	-1.49405624881	-1.9360034623
SMAD3	11	-1.66092562425	2.04148077922	-1.45224299287	9.24776515656	7.1067353471	4.57583951859	0.0976220947188	5.74029654854	-3.40702367575	-11.4286085312	-8.89936743999	-2.57200647078	-5.15202844267	-9.90901037915	-9.24241025175
REL	5	4.72670882756	2.92716992079	4.80966371473	7.30566196583	4.35684679468	6.16798338957	3.0206165906	5.69844442228	2.16988717609	3.2773494354	6.28850037478	7.80036675104	2.42364575374	4.47486364888	5.45292364744
UTF1	3	-0.686699996774	2.22782731014	3.1678078487	6.07740963791	5.8321122402	4.78351585874	2.08723105017	4.90896939619	0.127500980975	-7.72112336717	-8.0596308572	-3.38693836159	-4.83882795199	-7.02403857832	-7.7956151616
NCOA3	1	-0.214411736339	0.819594991507	0.564091887712	-0.189508745808	-0.198630747005	0.1342252996	-0.673445631697	-0.987285705833	-1.25325182474	-0.330297391116	0.110083709359	0.0447999286938	-0.227031524736	-0.523987726623	-0.291120828058
NCOA1	1	-1.6867526976	-3.11852157309	-3.6018929651	2.73863926158	-1.26690486278	-2.95360442265	-3.0666402519	-0.228399559003	-3.40883205093	-3.17726585695	-1.53836769014	-1.07723345295	-1.50679142818	-1.0911674215	-0.317555492786
KANL3	4	-1.71656144842	4.68459372211	-4.96472486142	11.665291623	8.63354364578	9.85320773961	-1.30548949235	6.1346754782	-6.37968965479	-14.3204489222	-8.5937426518	-0.837154024419	-6.30187457492	-12.3177248924	-9.98232341227
SMC3	12	0.631254173724	2.95337458579	2.50929464353	8.29944889093	7.62512420403	5.12569235964	3.60981646161	7.02409961215	1.20033956211	-8.1052934839	-6.14958869309	0.119665542513	-3.15945126562	-6.3504922319	-5.86447175566
SMC5	5	2.97612560903	4.59645154428	-2.22940362881	10.213851547	9.970338189	10.4255783785	3.83997718968	9.47391224125	-0.0241175031653	-6.5196972624	1.01044219277	5.78081320493	-4.48077240099	-3.29961018568	2.90799502001
PO2F2	1	-0.00524332049771	-0.785516121258	-1.45905910862	2.26889995836	1.80973849829	1.42287627273	1.22601143511	2.88013572065	0.814058607807	-2.40192630124	-0.940375180613	-0.518037399178	-2.900050902	-1.9512948701	0.461132903096
ELL3	1	-1.17860349977	-1.22867721898	-0.729197510831	4.99335371054	1.91043067761	0.448690194358	-1.07697794288	2.83706970906	-2.4120576093	-5.47069821828	-3.96598432695	-1.70641986904	-2.51212802779	-3.92485503561	-3.66299752872
ELL2	3	-0.0648656151889	0.172397309322	0.893456008143	3.20706534361	2.81270391469	-0.403982360901	0.395101507925	1.98646015115	-2.43584026928	-2.00217928459	-1.78038153155	-0.0599864370543	-1.3033236495	-0.94662444495	-1.44298486967
MECP2	8	-0.392196530192	0.0775025008927	5.13154892339	0.2032015574	1.77615295805	1.22269693507	3.4498965724	3.34431306566	2.8500435019	-3.43577696679	-5.42369983154	-3.48014803664	-2.82293179367	-3.48920590295	-4.89434490587
RXRA	33	-0.0417929755533	5.61119393403	3.19347169491	8.04699773819	9.48241776551	9.7358647594	-2.00985939818	9.4621263614	-1.98310738344	-8.68737458978	-6.25246057693	-1.86010502249	-5.08503007052	-8.71755835742	-11.5216785124
SPIB	2	2.09118094882	2.25882268918	-1.72051814854	9.56512292744	7.13559648069	9.50309762172	3.40964102076	9.0807533055	-0.998491705818	-7.14869159508	0.261081456665	5.12699283971	-4.55784571871	-3.84443927202	1.20541138198
OLIG2	2	-1.36761119667	0.560950221256	0.773108676777	2.36781176282	3.36722275487	0.67735320172	-0.420518243697	1.94666102577	-1.72079558874	-6.35943118177	-6.27735993365	-2.81778456354	-2.43090601724	-4.40364761936	-4.40922124853
YAP1	1	0.698829448846	1.21009831367	-0.43454047449	1.64028238906	0.522345706071	0.808413789709	0.30302946035	1.00870427464	0.480196858573	0.465290491221	0.876197939154	1.15513015913	0.406043696373	0.670202981199	0.672216699185
MSGN1	1	0.0415639177972	0.820402286127	-0.0847477603371	-1.03832252084	-0.138837494192	-0.249860172161	1.27115212312	0.868343207174	1.46104740307	-0.237374915681	-0.0183558928846	-0.127925430014	-1.27654903299	-0.512394936904	-0.154682014322
CXXC1	1	-0.868750045229	4.65602460742	-3.30875655681	11.3637092396	7.59538621122	9.01397428703	-0.954969730306	4.5349647709	-6.35042234879	-11.5349905972	-6.2669778401	0.457453308242	-4.58702758934	-9.02342297456	-7.75744542054
TBP	13	0.320219375858	5.56490139251	-3.23118871631	14.1891231101	11.3433162878	11.3457680249	0.6408225769	9.0592004033	-4.56512635258	-12.294902451	-5.87312024458	1.6520974345	-5.26143481318	-9.79188680308	-8.29449858731
UBP16	3	0.123475067263	1.77737737028	-0.668376896517	4.19507382927	2.59576383183	3.82228371417	0.374578768177	2.95063238727	-0.721514985677	-4.64720760935	-1.84238184087	0.976172162676	-0.735981706171	-3.40657323009	-2.9411948533
DNJC2	1	0.258881721619	0.782555671098	1.05615297418	1.98597366443	1.34911761401	0.859114822163	1.38669779703	2.32493882151	1.66076521052	-1.25402585309	-1.37631467826	-0.655680879918	-0.473245014768	-1.80613464551	-2.21557140072
MYF5	1	1.18490171259	2.47357103689	1.5361170248	0.105435799655	2.24064173251	-0.140693448077	1.02211631407	0.808900053925	1.48636445753	2.45365434622	0.473706912712	0.157952948424	1.22906741523	1.64941218835	1.09237719407
MCRS1	2	-1.23691798641	4.53043569059	-1.44970006456	10.3207876588	8.04679120501	8.79456303962	0.247157299738	5.23801825889	-4.81629640265	-12.1677820553	-8.43806161185	-1.83926975113	-5.68150597139	-10.6812668254	-9.42072228019
ERG	7	0.342357770687	3.85235746053	-3.0964711452	13.0111588488	9.12130822608	12.1786047925	-0.162292175285	9.86292023744	-3.88747500132	-11.9546906505	-3.77827783056	3.26127211369	-6.65246271686	-9.8757789442	-7.08716442556
FIZ1	1	-0.905041219252	1.3077837845	-1.10324247285	1.70212813743	1.03960862343	1.41132571988	-2.6352909331	0.640716109632	-3.50559163712	-3.47650482699	-1.82754708481	-0.347167645032	-1.60042790159	-2.3570678056	-1.91929913732
HAND1	1	-0.898284145832	-0.350734196506	0.13733634443	0.779003622115	0.113180353643	-0.896915421708	-0.740136812143	0.818025826779	0.779067358822	-2.62093710632	-2.82449458543	-2.02208393345	-2.40345353127	-2.02820653158	-1.31562942904
HAND2	3	0.119663068768	-0.703982724061	0.599395690545	1.2747013061	-0.314044958997	0.0176856725508	0.862273153924	0.0107224736227	0.698953915251	0.342264112599	-0.555379911632	-0.722057286061	-0.0977534222543	0.456025927693	-0.193520986523
MITF	1	0.769050802856	0.914255416259	0.0720218782178	1.56436361489	2.58344281295	3.76106796667	0.339604391756	2.3356235787	-0.557643017836	-1.33521178239	0.681839857256	1.99892801901	-2.17560489061	-0.485391230056	1.06941462518
MYOG	8	-2.95300236022	0.805833854745	0.852757339498	7.90224721864	7.09795376335	1.8928143285	-0.78193623616	6.31268003635	-1.78512706949	-13.3325523438	-13.2889003514	-4.36858355419	-7.82187443905	-12.1045372727	-12.7228083175
GFI1B	1	-0.348202264105	-0.204978052277	-1.57577769789	3.03213027328	0.892218486024	0.736621519639	0.477451905355	1.44564483305	-1.23928224054	-3.18927446243	-1.37969985348	-0.155260556081	-1.30089198177	-1.96139612345	-0.452337746891
MYOD1	20	-2.69768901611	0.561050093627	2.24838896078	6.94999935071	6.81487059851	-0.411672944454	0.417246335227	6.17595235559	0.256638892118	-12.231247897	-13.4667533817	-4.68390896252	-7.34577213676	-10.7756332557	-12.276804234
UBF1	3	-2.50899567346	-2.87026879844	-4.05888309117	9.23243359214	3.82409637119	0.0305492110432	-3.40689861856	5.29777506346	-5.26684126976	-10.5469522543	-6.1338941299	-2.26317911756	-6.1731663227	-7.72492967297	-5.06578039089
SPI1	113	4.33422097835	4.8645529808	0.250088830649	12.8250750214	11.4850258659	14.6669387384	5.21419513624	12.2394856457	0.497831728139	-6.41239164162	1.99230314145	8.50724074275	-3.50545367184	-3.0892121706	1.14341334954
DMRTB	1	-0.489170548883	0.379325106463	-2.81160079263	6.55002639251	3.35915839487	2.84155254049	-0.249867643891	3.08939511651	-3.16341604268	-6.14389511538	-2.92138499567	0.524792860224	-1.38217562776	-4.07833017694	-2.8419677005
KLF5	4	-1.31428110742	2.41244834962	-0.715137433422	10.5560648957	7.57177185237	6.40598910509	-0.118077297943	5.53353638392	-4.3316816889	-11.2489966272	-8.27883955071	-1.78377245171	-5.27581385855	-9.46580773875	-9.66161944339
KLF4	16	-1.74899995926	2.4899637606	0.560518083302	11.8141774691	7.41951884638	5.93051279425	0.561897466906	5.21697626142	-5.4665769917	-12.4699187936	-9.64934448542	-2.78964848253	-6.24172591267	-10.7081665969	-11.1541828487
KLF3	3	-0.816080146979	0.762989054689	-2.009452286	9.01747905165	5.27879473009	4.29572543837	-1.26547928828	3.72380251683	-4.86185884471	-8.46674484963	-4.16240949075	1.01596352709	-2.71490281246	-6.07196499293	-5.96706381166
KLF2	1	-0.407373638709	-1.96107537337	-1.09815998251	1.52770297872	-0.947499406874	-2.67713110508	0.30960202337	0.141919842913	-0.837301310519	-0.235626628771	-0.17496631407	-0.585377557706	0.728628921543	0.620921162922	-0.514868192501
