TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
SMC3	12	8.33674513607e-08	0.00492536770836	0.0230883478915	1.50251864494e-16	4.94305156727e-14	3.54967944688e-07	0.00151506897472	4.68915179687e-12	0.173239227463	8.11166491658e-16	1.49200887566e-09	0.476515171986	0.00165549680753	3.34903382219e-10	6.63952064923e-09
SMC5	5	8.42231094217e-10	1.66850829802e-05	0.0424449753161	5.03630953863e-24	1.71211906292e-22	1.19336408136e-24	0.000719451090738	1.8265691255e-20	0.496947203686	8.53700108269e-11	0.189551997124	3.83318943235e-08	1.24241318302e-05	0.000825269393259	0.00298579775385
PO2F2	1	0.0667206261382	0.299265883231	0.156029611756	0.0160245419672	0.0476764283335	0.104243424864	0.26218876634	0.00333659523588	0.275239491231	0.0112623562484	0.208598713853	0.36307804663	0.00371680476082	0.0352661973257	0.346052290532
ELL3	1	0.00257992715615	0.181638348435	0.317603967743	5.53478393554e-07	0.03837874669	0.362796565905	0.306717043625	0.00367867263373	0.0193999225684	4.66418161423e-08	7.53745715762e-05	0.0864638632468	0.0103434995784	8.31055006574e-05	0.000227611845004
ELL2	3	0.0719380459303	0.457776483911	0.274860708124	0.00103193849081	0.0038593386587	0.375382823387	0.439072641175	0.0339636375806	0.0184431219561	0.0298800598146	0.0533310872016	0.486809094852	0.128228200257	0.200198112639	0.0964860562323
MECP2	8	0.00119741151018	0.484358263665	7.38181649793e-06	0.437813367259	0.0505659231801	0.143640772405	0.0026087280777	0.000734079672494	0.00629311311132	0.000445903927301	8.91946708577e-08	0.00102916809881	0.00449093552857	0.000426399625467	1.15983349581e-06
RXRA	33	1.36180052234e-12	2.00421014129e-07	0.00443305648351	1.1494372102e-15	1.27727192925e-20	8.79222393268e-22	0.0820463849811	1.85899857498e-20	0.0495492403457	6.42294190055e-18	7.96624270035e-10	0.0660849465353	8.50339758508e-07	9.7819452005e-18	3.09450921261e-29
SPIB	2	3.46681040456e-08	0.0266956652459	0.104081605004	2.79910218558e-21	1.80834438848e-12	8.53474863565e-21	0.0027718460925	5.97195340662e-19	0.220124747316	1.21180052912e-12	0.41435860098	1.17431716178e-06	8.84300156706e-06	0.000113126184513	0.140412502595
OLIG2	2	0.000973616285909	0.35653923069	0.305096598603	0.0123388134483	0.000646439310294	0.29444225047	0.438098428631	0.0368629602717	0.0821043805458	2.4772873412e-10	7.44157993398e-10	0.00730260149886	0.0125570521956	1.0952724004e-05	1.09654493015e-05
YAP1	1	0.257677238616	0.185319841779	0.392867238976	0.0646680392832	0.329372581263	0.252930521099	0.453757418661	0.19268120244	0.365958377047	0.346418904756	0.227344426955	0.195824185645	0.373987512632	0.281770594711	0.278945218872
MSGN1	1	0.307981085191	0.290574838467	0.484435604324	0.17785230129	0.457695008738	0.422955324774	0.250919550357	0.223388061029	0.125310212905	0.421739631602	0.499285370697	0.476481816222	0.134159302845	0.330813155698	0.45570975752
CXXC1	1	6.11921223924e-12	1.31958806031e-05	0.00343552918519	3.40926209271e-29	6.37813951397e-14	6.57409991494e-19	0.333897022354	6.59798558925e-06	3.1469201756e-09	6.70178361004e-30	7.44157993398e-10	0.380697202479	7.74436737288e-06	7.61674760375e-19	2.05122888367e-14
TBP	13	3.31157379811e-16	2.4055055017e-07	0.00418198970933	4.50773005317e-44	1.95754364286e-28	6.50112729547e-29	0.406638924117	6.38263723821e-19	1.83612312404e-05	1.05663808833e-33	7.67837995241e-09	0.093648466991	3.84770438196e-07	7.58811317787e-22	3.12674058064e-16
UBP16	3	0.0078184869877	0.0731291075129	0.335505575588	2.39186708516e-05	0.00726059000312	0.000132917629481	0.442912008581	0.00263855528457	0.300984713845	3.22471228808e-06	0.0469913927326	0.240240060619	0.277357293934	0.0005807349309	0.00273046200486
DNJC2	1	0.107973447816	0.299535062486	0.238661500326	0.031177633117	0.110601740397	0.23831324653	0.225544273597	0.0153847939949	0.0908538972737	0.123619142439	0.114259797022	0.325702728719	0.358249948935	0.0480140014866	0.0199725074272
MYF5	1	0.142914775126	0.025905925414	0.156075702227	0.469944865653	0.0277886901219	0.460169860125	0.328975108792	0.244496217643	0.13192608595	0.0175758796344	0.345015826471	0.470515779578	0.153863086723	0.0759045866587	0.172589216874
MCRS1	2	3.39631101446e-13	2.2382645449e-05	0.156095381798	1.58789812599e-24	2.00504037899e-15	4.3038135828e-18	0.461330904996	2.14883605774e-07	6.074848603e-06	4.62174744413e-33	1.552303391e-16	0.0689249122441	5.02898357501e-08	1.63719461043e-25	2.31479649735e-20
ERG	7	6.17188416287e-15	0.000289588136392	0.00542930675297	1.2902532006e-37	2.8988904917e-19	5.82415472768e-33	0.474804552072	4.56507608237e-22	0.000245425862971	5.37165765702e-32	0.000157703338381	0.00215563533856	3.53580676541e-10	3.69238560261e-22	2.67904880002e-12
FIZ1	1	0.0431452540951	0.164280710643	0.226180976767	0.0563349158253	0.176067281942	0.105665745351	0.0223168485233	0.290294256877	0.000930193277759	0.000392390698571	0.0483491845599	0.412446312665	0.0792495929302	0.0136288040029	0.0390530250763
HAND1	1	0.0987010633916	0.41643195879	0.471429144319	0.250756410113	0.466253988249	0.228340295564	0.388270336636	0.235959311129	0.283772875976	0.00620802507778	0.0041610241621	0.0481204992299	0.0136886094597	0.0299687018895	0.1198490786
HAND2	3	0.350194301307	0.31493285961	0.356020155994	0.124212491598	0.397312938682	0.498176472329	0.358557958461	0.50012901995	0.307277930895	0.386514034648	0.316516735831	0.311238575367	0.471449908962	0.347131474642	0.440753307722
MITF	1	0.0692484655089	0.256731735249	0.4874023917	0.0738017405367	0.00752397296307	0.000169099456327	0.453757418661	0.0149475161327	0.345711353757	0.11022075585	0.27883413912	0.0498147460043	0.0239000446855	0.338710174645	0.170772637671
MYOG	8	7.85421358858e-15	0.293595850737	0.285966521678	3.63920020013e-15	2.23754816576e-12	0.0422150026231	0.38125556227	5.02579017679e-10	0.0732845420067	5.87675116877e-39	1.39952825048e-38	3.56301568644e-05	3.07207781794e-13	1.41708232002e-31	6.57552930243e-35
GFI1B	1	0.093619723419	0.451963653818	0.12963054078	0.00182976440207	0.213510412603	0.275687271959	0.427873469374	0.0988895828063	0.166383648251	0.00107954666782	0.11380562963	0.470515779578	0.128470208765	0.0345484093732	0.348589873043
MYOD1	20	1.64780308444e-13	0.35653923069	0.0406947334596	4.16734464482e-12	1.53269117224e-11	0.374073352209	0.438098428631	1.14016613231e-09	0.44477482102	2.16081308702e-33	1.56173631001e-39	9.30912201423e-06	5.98628730494e-12	6.50697476755e-26	1.15453644392e-32
UBF1	3	2.0106949062e-08	0.00586634485135	0.000490040504772	5.90915148438e-20	0.000116599400954	0.49434803199	0.0027718460925	1.61508815501e-07	7.82866696719e-07	2.09502809866e-25	1.65217264187e-09	0.0298179442334	3.93124379008e-09	2.51380531297e-14	5.04376578998e-07
SPI1	113	3.81475479455e-14	5.5657255197e-06	0.445408516453	1.06560643088e-36	4.06886663374e-29	1.68652842205e-46	2.47987495964e-06	5.02026192075e-33	0.362492621636	1.66423244489e-10	0.0341575820113	2.21735531306e-16	0.000528617598598	0.00165194131208	0.153483104214
DMRTB	1	0.000775686212278	0.409602769896	0.0113395111227	6.59754452329e-11	0.000661415306017	0.00374530400268	0.461330904996	0.00169382361781	0.00257330533157	9.30501105432e-10	0.00299619576525	0.361120476837	0.115202770159	4.43763865353e-05	0.00363394241083
KLF5	4	1.17766176337e-11	0.0190403663854	0.321265922032	1.3941403264e-25	7.33222040806e-14	2.55701174635e-10	0.482778573477	4.4698051209e-08	4.68363392844e-05	1.08046457296e-28	5.59434773522e-16	0.0758086984881	3.60158062357e-07	1.52858772023e-20	2.42098054969e-21
KLF4	16	7.14136843391e-14	0.0157686731319	0.365820001093	1.83656891845e-31	2.21686789977e-13	4.50609750008e-09	0.423306881586	2.37677065413e-07	3.09064541493e-07	1.55610113235e-34	4.88275859656e-21	0.00788567204207	2.72448642187e-09	1.26235564578e-25	1.3232136784e-27
KLF3	3	1.3628806736e-06	0.301712601253	0.0643644309672	3.87913817752e-19	1.50006861617e-07	1.83031903405e-05	0.250919550357	0.000188213942129	5.2550937455e-06	4.45270562395e-17	3.41670158361e-05	0.229893044971	0.00605419322998	1.906073157e-09	3.68194790844e-09
KLF2	1	0.194003396597	0.0507190787988	0.22725668432	0.0790672087378	0.198427330958	0.00615091621843	0.453757418661	0.457694902809	0.267191283788	0.421739631602	0.442253776487	0.344433879123	0.278577101591	0.296064065331	0.327137172332
KLF1	3	1.23597236692e-11	0.0136675755828	0.00180502574016	9.77028157007e-26	1.99827233815e-11	1.99793648073e-14	0.0320926700061	2.41831535046e-08	5.11081806534e-12	3.45797890393e-34	1.56477854668e-09	0.481610933102	2.72735282491e-08	2.33069725437e-18	3.0704101038e-11
CNOT3	1	0.21408282987	0.458584316345	0.26435273992	0.417642754284	0.420039024788	0.174403337393	0.427873469374	0.238381168576	0.42172035839	0.0828213550608	0.0657846313681	0.223055346565	0.430387644302	0.0993800288158	0.0512204182466
RYBP	4	2.99614077197e-08	0.310757740643	0.285966521678	2.79893869393e-09	2.68486801802e-06	0.13370609722	0.469147103863	0.00125131485458	0.0128697414089	5.44074572197e-19	5.02097146511e-20	2.8714685755e-06	7.61067257807e-09	2.58974368486e-14	4.50392120519e-20
P53	10	2.4590076323e-08	0.177090710149	0.379656122371	1.70662087199e-13	1.44830503821e-08	0.00918773399754	0.395975680303	3.92304747805e-06	0.0245600771317	1.71860609895e-21	4.18029327071e-17	0.00313905328703	1.15836651375e-07	2.79886065374e-14	6.93930084502e-16
BMI1	3	0.0352150731513	0.451963653818	0.126426527973	0.350701822627	0.0516210719913	2.9609814455e-06	0.488164487303	0.363784927176	0.385812230326	0.334700233839	0.00999822736632	0.0134070221548	0.0295005778172	0.0724758535567	0.000224045276095
REST	12	0.0185166833986	0.299265883231	0.471429144319	0.0270837643441	0.378588834001	0.415361316527	0.333311459827	0.15228484041	0.00882114551425	0.0252666550496	2.64109156663e-05	0.0175753878703	0.0293836931757	0.00381422667134	1.57516985108e-06
E4F1	2	0.148749239141	0.205715303892	0.089116119045	0.464951425379	0.0837181157109	0.234868600632	0.460059841142	0.11135911397	0.446402514256	0.0439019290537	0.117376582539	0.462595015877	0.212052291644	0.0255344710878	0.0524794303527
E2F4	16	7.06809917784e-13	3.53325609261e-10	0.00265722409633	8.48310320741e-40	1.0053343351e-29	6.34726785377e-28	4.39949959292e-06	0.000252454860783	6.57390623826e-08	1.29058830706e-27	2.41537963642e-06	2.86104952666e-05	0.0176972947201	5.73352026994e-07	0.0231283278093
