TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
CCND1	1	-1.84181932048	2.09681606715	-1.08823792938	8.15448200501	5.89926302814	5.40756232376	0.561272826276	4.89229872474	-3.35810546372	-11.1844008154	-9.25389268772	-3.81079916408	-5.92067314557	-9.21317927086	-8.967876985
MAX	7	-0.136584995587	5.6683013318	-1.341044847	12.7696084979	9.57368869142	9.71634500335	-0.0143649150904	6.22938026516	-5.10259847591	-11.3339334513	-6.82019498009	0.885783144762	-5.15409695053	-8.7848822776	-8.20418097506
MAZ	2	-0.389907014209	0.227263387783	-1.34301997922	9.55826783435	6.00359942761	6.2033245297	1.57455390776	9.08256782311	-1.17804967963	-10.4842388751	-5.09023091454	-0.854191179802	-6.41322750013	-7.72893768558	-5.01637929524
AHR	11	0.56785375805	2.32742479992	3.56325171595	3.05741065464	1.5104762245	2.17492570196	-0.0716024545489	0.0457731217948	-1.50043703599	-0.727324917862	-0.831791006825	0.928993690551	-1.35399553426	-0.178707144537	-0.994445202599
CSN1	2	-2.0927785788	0.985082844128	-2.11386928369	10.0400537907	6.13228562545	5.51837537473	-1.75031356571	5.68666241214	-4.99102591367	-12.1089057586	-8.4816575385	-2.23101028817	-5.84419236314	-10.2631868263	-9.87719861245
MAF	6	4.19010887001	3.82889389192	-0.928270274449	10.943088746	9.15730642642	9.8898953591	4.4847236925	10.2129438713	1.24145042967	-3.9838696596	3.36338937615	8.09776501127	-1.50976919503	-0.551121824228	4.41509832907
CTCF	116	0.300790591241	3.4098254231	4.56304275017	9.02771749775	7.89359113467	7.53107990805	3.94748785361	8.62392938269	1.13616021357	-10.5575716839	-8.14605172005	-1.46063118954	-5.18943611914	-8.2774268507	-8.29064832291
ATF7	1	-0.195474384777	1.1723360281	-1.01765978014	4.97394692674	3.76249832491	2.15941433484	-1.16359269581	4.32879622526	-0.673206478215	-3.79828584804	-2.4048651789	0.600299998764	-2.44404496012	-3.75250508276	-4.47977320151
BACH2	1	3.01061019396	1.68137818469	-1.31701792557	6.49201782552	4.20391296916	4.42779558479	2.3240176571	5.67090676487	1.19928299397	0.198535605128	4.35966616475	5.94738512938	0.377525595409	1.75323067532	4.82990549092
SOX17	8	-0.399583743317	4.20891737199	-1.36853523555	9.13731903683	5.30663243156	3.7374020966	-0.787877480617	3.14079423375	-5.68179786856	-6.39646051908	-4.01741705676	0.884054204478	-3.45356933974	-5.19653857613	-5.10709570522
ZIC2	2	-1.78215159666	-0.681505215833	1.50563098689	5.21697413314	2.5476555628	0.881522956271	-0.631699773518	2.3071567497	-2.53880477047	-6.80364706358	-6.42787837676	-3.78242224183	-4.62679390862	-5.73950042719	-6.17681096428
ZIC3	2	-0.794934139619	-0.739706311403	0.67240829223	-0.478543860953	0.343880845414	-0.373204025835	-0.775396183146	-0.259234554688	-0.315453052707	-1.43646714229	-2.01330724592	-1.08470622486	-1.34010765529	-1.45387893334	-1.87536190188
DMAP1	2	-0.529165771044	4.95905341039	-2.98569242919	10.8872407207	8.16943514611	8.31007386088	-0.792601960753	3.78822524378	-5.95600973268	-9.85340809426	-5.76290663052	0.715310803064	-4.28765285327	-7.9177639611	-6.68162431775
NFIL3	1	0.28346381992	4.06057978294	3.71977917736	0.323052686094	3.50567695732	2.90736219401	-2.6937148584	2.30172877335	-0.703472174277	0.531119657241	-1.33631194985	-1.5683163266	-0.630806062508	-1.66108485237	-4.78709952542
NR1H2	1	0.477904187873	1.05270686082	0.361692544178	1.83790619309	2.48941471312	2.54644815147	0.249965681256	2.34637740161	-0.199001208857	-1.3526038639	-0.498149206172	0.827612782951	-1.08247600359	-1.10746607497	-0.781769340786
PEBB	5	-0.356765290856	0.638506393272	-2.74347700596	7.59446018516	5.40397808688	5.15298840476	0.30077595161	6.78138098462	-2.85273059304	-8.85649119289	-3.6404840237	0.53755289096	-5.63304720287	-6.17578941575	-1.50233753503
PPARA	4	0.296472036619	5.96547949114	5.36068628016	3.85482201606	8.43764620584	8.39187922179	-2.69030067684	6.848134597	-1.23085807009	-4.08445707263	-4.73135681454	-2.7317619455	-3.45617646078	-6.01348994463	-9.7696383143
ING1	2	-1.42409144757	2.50651981025	-5.70150054146	13.9727099641	7.93672362765	6.86972581278	-1.61220069093	5.95244350336	-6.93197192462	-13.6981136948	-7.35024625877	1.31797263414	-5.22688297325	-9.98196249056	-7.99049704395
PHX2A	1	-0.566233980968	0.0852706180581	-0.742465872773	1.31425077584	0.75950204905	0.164675686707	-0.943460090918	0.0175050469228	-1.66421394669	-1.61118689554	-1.17770832263	-0.729433691362	-0.43687856412	-1.4731723448	-1.4899601813
PSIP1	3	-0.794247128035	-0.776701917287	-1.24716300141	-0.379368176787	-0.984036334746	-0.358607257899	-0.340609606986	-0.260761896323	-0.2323799326	-1.66385118576	-1.35259031034	-0.965539623859	-0.785122006601	-0.813528178086	-0.959200363815
TFAP4	1	1.03541240812	3.97967482894	-0.999596931656	10.2190413181	8.86199725796	9.41305761458	3.36911336199	8.4385585832	-0.0839241763412	-9.38807702377	-4.11869320319	1.26144663012	-5.30947430951	-7.30926878544	-3.83808145133
PTF1A	8	-1.35049588627	1.63217688189	2.31592171019	3.19723979702	2.96363407864	2.36244471945	0.455919683021	3.31754251064	0.173728323112	-5.69840719602	-7.54405046182	-5.105216262	-3.88761127122	-5.78469286703	-7.30557205365
RING2	44	-3.53820299817	-1.54494109646	0.655910376875	6.34446761693	3.95776044302	-2.43820156366	-0.268984190347	2.82542576235	-2.14131676024	-9.96923346642	-11.8677675193	-7.59143493731	-7.14257274565	-8.99652295278	-11.3574309414
RING1	2	-1.17643627007	3.47776443248	-0.30308922525	7.68114774687	6.81105246427	5.26986259243	0.140758277874	3.65552170848	-3.33076214242	-9.1374695451	-7.62540806562	-1.75716814477	-5.08518384248	-8.06163737002	-8.20549666768
PRDM4	4	-0.297905724267	-0.758572900526	0.373810477236	2.43282872044	0.563107038201	0.166329560682	0.0479673189496	0.988715468472	-1.51638324405	-1.43267164936	-1.09071800735	0.121401884785	-1.28866140963	-1.52965498684	-1.24817841075
PRDM5	1	-0.902206258421	-0.415468381389	0.427563735742	0.179488708503	0.432787172763	-0.999015287431	-0.634493213354	0.02154572124	-1.22161657731	-2.21870017728	-2.34438303122	-1.23695075198	-1.41712713568	-1.60879967375	-1.59571872675
CBP	14	0.659883564888	3.41020338608	3.0596728702	9.1078078212	8.80755208395	6.97918181038	-0.708431988747	8.44981863281	-0.868806556073	-6.28060496044	-4.93813572024	-0.493394514658	-3.23898246275	-5.57542453793	-8.47208595533
PRDM1	3	1.27729901598	2.22607071669	1.3795511392	2.97880049888	3.31993595504	1.56756821459	1.62663845476	4.29363033611	2.43805489159	-0.862416392222	-0.245901148199	0.750010405441	-0.715059507138	-0.586241693702	-0.288455647251
TF2L1	1	-0.663079479564	1.47800154725	1.56970387279	4.94369666758	4.56452352646	3.28796207673	0.01451014975	2.17222847656	-2.33033335815	-5.92932763102	-5.02208054853	-1.74046203245	-2.80724359426	-4.40567764911	-5.07861421751
PRDM9	1	0.183405126798	0.169893784657	0.755893410194	0.364910613037	0.769480005586	0.273638947724	0.778212983005	1.32094675365	1.02676117781	-0.422770730949	-0.584060502525	-0.56581026609	-0.412783676185	-0.334686385938	-0.571954338795
ASH2L	2	2.46211824184	6.57991870504	-3.73419970166	12.0969752341	10.9758363235	12.5957075387	2.939617597	9.0231468455	-1.81323040296	-8.55402006588	-0.567853749705	5.60099777637	-3.10759748391	-5.67324939375	-1.89239383661
SMAD4	2	1.00537189187	1.79719990269	3.10436351227	3.54225341947	2.85566487023	2.45548975211	2.65402754446	4.24018077346	1.63211729983	-2.36700050788	-2.07345278282	0.219022711522	-1.07235173317	-1.50795676668	-1.40435150927
SMAD5	1	-0.124430963951	0.241622085728	0.254025601985	1.06452919441	0.299154313582	2.28823129807	-0.790795647751	1.32972396254	-0.862248104692	-1.250389611	-0.0725615874384	0.810309581129	-1.34412645742	-2.22799581743	-1.48151230701
TLE1	1	0.832919304155	0.313705069106	1.11004497468	-0.0812400484467	0.234986882138	1.65745420229	0.210238636412	0.968915596781	0.648500306271	0.544162020674	1.15233035698	2.088999143	0.425740636986	1.60836678776	0.778665693545
SMAD1	8	0.0288799109596	0.954225364042	-0.755900606903	3.40081650667	3.22753315347	1.53275668949	0.79673990287	1.08511692466	-3.3413471604	-3.71310534244	-1.27395244847	0.965032013353	-0.165198811254	-1.68351448068	-0.62488295097
SMAD2	2	-0.520117008581	0.13582654604	1.30652821831	-0.459852739081	0.0758249472839	-0.640074531692	0.101010708965	0.418556657645	-0.450099585702	-0.947623239083	-1.27287668492	-1.13337882995	-0.985419876895	-1.49405624923	-1.93600346182
SMAD3	11	-1.66092562291	2.04148077961	-1.4522429892	9.24776516118	7.10673534801	4.57583951886	0.0976220961065	5.74029654997	-3.40702366982	-11.428608529	-8.89936744041	-2.57200647171	-5.15202844372	-9.90901037868	-9.24241025192
REL	5	4.72670882776	2.92716992156	4.8096637129	7.30566196606	4.35684679561	6.16798339767	3.02061658914	5.69844442189	2.16988717833	3.27734943491	6.28850037445	7.80036675043	2.4236457541	4.47486364839	5.45292364325
UTF1	3	-0.686699996388	2.22782730915	3.16780785067	6.07740963941	5.83211224328	4.78351585826	2.08723105177	4.90896939708	0.127500982393	-7.7211233684	-8.05963085794	-3.3869383617	-4.83882795173	-7.0240385784	-7.79561516328
NCOA3	1	-0.214411734732	0.819594991519	0.564091888345	-0.189508745901	-0.198630746235	0.134225298054	-0.673445633237	-0.987285706523	-1.25325180087	-0.330297391214	0.110083709857	0.0447999279187	-0.227031524439	-0.523987725663	-0.291120827869
NCOA1	1	-1.68675269832	-3.11852157484	-3.60189296794	2.73863925983	-1.26690486125	-2.95360442227	-3.06664025948	-0.228399557505	-3.40883204942	-3.17726585713	-1.53836769058	-1.07723345346	-1.50679142803	-1.09116742133	-0.317555493108
KANL3	4	-1.71656144809	4.68459372038	-4.96472486124	11.6652916243	8.63354364715	9.85320773989	-1.30548949127	6.13467547949	-6.3796896524	-14.3204489206	-8.59374265273	-0.837154025225	-6.30187457506	-12.3177248921	-9.98232341385
SMC3	12	0.631254174382	2.95337458691	2.50929464575	8.29944889076	7.62512420603	5.12569235883	3.60981646031	7.02409961293	1.20033956627	-8.1052934848	-6.14958869325	0.119665542988	-3.15945126374	-6.35049223212	-5.86447175553
SMC5	5	2.97612560909	4.59645154493	-2.22940362629	10.2138515436	9.97033819026	10.4255783788	3.83997718745	9.47391224377	-0.0241175010977	-6.51969726258	1.01044219109	5.78081320347	-4.48077239939	-3.2996101865	2.90799501963
PO2F2	1	-0.00524332013654	-0.785516121949	-1.45905911074	2.26889996226	1.8097384974	1.42287627227	1.22601143565	2.88013572125	0.814058617104	-2.40192630424	-0.940375179811	-0.518037399538	-2.90005090225	-1.95129486964	0.461132900318
ELL3	1	-1.17860349879	-1.22867721771	-0.72919751065	4.99335371069	1.91043067923	0.448690194274	-1.07697794838	2.83706971118	-2.41205760172	-5.47069821596	-3.96598432743	-1.70641987	-2.51212802301	-3.92485503665	-3.66299752688
ELL2	3	-0.0648656150419	0.172397307359	0.893456004885	3.20706534257	2.81270391811	-0.403982361319	0.395101507013	1.98646015262	-2.43584026461	-2.00217928419	-1.78038153216	-0.0599864386991	-1.30332364931	-0.94662444539	-1.44298486746
MECP2	8	-0.392196530521	0.0775025018622	5.13154892266	0.203201558275	1.77615295929	1.22269693161	3.44989657242	3.34431306563	2.85004350149	-3.4357769703	-5.42369983383	-3.48014803565	-2.82293179088	-3.48920590303	-4.89434490684
RXRA	33	-0.0417929748557	5.61119393416	3.19347169676	8.04699774085	9.48241776669	9.73586475659	-2.00985939767	9.46212636234	-1.98310737774	-8.68737458604	-6.2524605763	-1.86010502388	-5.08503007206	-8.71755835759	-11.5216785141
SPIB	2	2.09118094906	2.25882268811	-1.72051814777	9.56512292564	7.13559648286	9.5030976217	3.40964102462	9.08075330806	-0.998491702101	-7.14869159645	0.261081456305	5.12699283891	-4.5578457196	-3.84443927225	1.20541137878
OLIG2	2	-1.36761119545	0.560950221596	0.773108678506	2.36781176418	3.3672227559	0.67735320114	-0.420518239966	1.94666102635	-1.72079558048	-6.35943118209	-6.27735993441	-2.8177845646	-2.43090601417	-4.40364761976	-4.40922124848
YAP1	1	0.698829448287	1.21009831301	-0.434540474438	1.64028238693	0.522345705813	0.808413789907	0.303029461599	1.00870427416	0.480196852338	0.465290490954	0.876197939534	1.15513016	0.406043696873	0.670202980776	0.672216698563
MSGN1	1	0.0415639175882	0.820402286476	-0.0847477608344	-1.03832252161	-0.138837494817	-0.249860174095	1.27115212583	0.868343206779	1.46104740259	-0.237374915686	-0.0183558924904	-0.127925430477	-1.27654903283	-0.512394937292	-0.154682015304
CXXC1	1	-0.86875004483	4.65602460471	-3.30875655575	11.3637092457	7.59538621261	9.01397428614	-0.954969726847	4.53496477213	-6.35042234641	-11.5349905974	-6.2669778407	0.457453307038	-4.58702759207	-9.0234229751	-7.75744542168
TBP	13	0.320219377135	5.56490139309	-3.2311887134	14.1891231132	11.343316289	11.3457680259	0.640822580076	9.05920040423	-4.56512634742	-12.2949024482	-5.87312024501	1.65209743409	-5.26143481487	-9.79188680334	-8.29449858756
UBP16	3	0.12347506735	1.7773773674	-0.668376892432	4.19507383157	2.59576383336	3.8222837146	0.374578765369	2.95063238775	-0.721514984506	-4.64720760851	-1.84238184047	0.976172162033	-0.73598171018	-3.40657322985	-2.94119485324
DNJC2	1	0.258881722084	0.782555671071	1.05615297374	1.98597366662	1.34911761295	0.859114820646	1.38669779718	2.32493882852	1.66076521441	-1.25402585265	-1.37631467874	-0.655680881437	-0.473245015365	-1.806134646	-2.21557140177
MYF5	1	1.18490171257	2.47357103559	1.53611702467	0.105435798893	2.24064173311	-0.14069344835	1.02211631402	0.808900054359	1.48636445752	2.45365434688	0.473706912241	0.157952948644	1.22906741605	1.64941218842	1.09237719395
MCRS1	2	-1.23691798621	4.53043568813	-1.44970006176	10.3207876614	8.0467912081	8.79456303809	0.247157301295	5.23801825893	-4.81629640218	-12.1677820542	-8.43806161249	-1.83926975181	-5.68150597244	-10.6812668264	-9.42072228173
ERG	7	0.342357771257	3.85235746071	-3.09647114271	13.0111588538	9.12130822774	12.178604793	-0.162292175552	9.86292023875	-3.8874749995	-11.9546906492	-3.77827783217	3.26127211313	-6.65246272009	-9.8757789441	-7.08716442627
FIZ1	1	-0.905041219524	1.30778378195	-1.10324247394	1.70212812641	1.03960862226	1.41132572448	-2.63529093277	0.640716111312	-3.50559163487	-3.47650482669	-1.82754708493	-0.347167645021	-1.60042789889	-2.35706780585	-1.91929913678
HAND1	1	-0.898284145361	-0.350734198512	0.137336343117	0.779003630605	0.113180354146	-0.896915421689	-0.740136811207	0.818025826172	0.779067357914	-2.62093710563	-2.82449458546	-2.02208393324	-2.40345353081	-2.02820653143	-1.31562942904
HAND2	3	0.11966306852	-0.703982722853	0.599395692452	1.27470130371	-0.314044958507	0.0176856720704	0.862273148616	0.0107224742349	0.698953913011	0.342264114586	-0.555379912091	-0.722057286767	-0.0977534204309	0.456025926898	-0.193520985645
MITF	1	0.769050802567	0.914255415675	0.0720218781593	1.56436361518	2.58344281247	3.76106796708	0.339604387245	2.33562358039	-0.557643018455	-1.33521178339	0.681839857164	1.99892801881	-2.17560489029	-0.48539123033	1.06941462623
MYOG	8	-2.95300235986	0.805833856288	0.852757340194	7.9022472188	7.09795376396	1.89281432849	-0.781936235336	6.31268003642	-1.7851270663	-13.3325523428	-13.2889003528	-4.36858355343	-7.82187444066	-12.1045372732	-12.7228083177
GFI1B	1	-0.348202264377	-0.204978050797	-1.57577769815	3.03213027015	0.892218487019	0.736621519108	0.477451904574	1.44564483201	-1.23928224013	-3.18927446203	-1.37969985289	-0.155260556824	-1.30089198226	-1.96139612379	-0.452337747257
MYOD1	20	-2.69768901584	0.561050095257	2.24838896091	6.94999935367	6.8148705989	-0.411672944804	0.417246334844	6.17595235357	0.256638895573	-12.231247895	-13.4667533832	-4.68390896325	-7.34577213592	-10.7756332562	-12.2768042361
UBF1	3	-2.5089956739	-2.87026879878	-4.05888309243	9.23243359046	3.82409637233	0.0305492103671	-3.4068986212	5.29777506289	-5.26684126727	-10.5469522545	-6.13389413127	-2.26317911741	-6.17316632238	-7.72492967378	-5.06578039159
SPI1	113	4.33422097916	4.86455298049	0.250088833862	12.8250750215	11.4850258678	14.6669387411	5.21419513873	12.2394856466	0.497831733716	-6.41239163975	1.99230314088	8.50724074053	-3.50545367427	-3.08921217119	1.14341334823
DMRTB	1	-0.489170548636	0.379325106732	-2.81160079376	6.55002639137	3.3591583954	2.84155253748	-0.249867643933	3.08939511794	-3.16341603695	-6.14389511483	-2.92138499448	0.524792860021	-1.38217562781	-4.07833017795	-2.84196770013
KLF5	4	-1.31428110738	2.41244834942	-0.715137430485	10.5560648965	7.57177185601	6.4059891022	-0.118077296606	5.53353638557	-4.33168168998	-11.2489966271	-8.27883955136	-1.78377245266	-5.27581386131	-9.46580773935	-9.66161944414
KLF4	16	-1.74899995949	2.48996375822	0.560518085444	11.814177469	7.41951885015	5.9305127926	0.561897468032	5.21697626263	-5.46657699005	-12.4699187943	-9.64934448651	-2.78964848461	-6.24172591605	-10.7081665979	-11.1541828494
KLF3	3	-0.816080146773	0.76298905229	-2.00945228046	9.01747905182	5.27879473059	4.295725441	-1.26547928777	3.72380251688	-4.86185884674	-8.4667448468	-4.16240949285	1.01596352613	-2.71490281679	-6.07196499139	-5.96706381074
KLF2	1	-0.407373637598	-1.96107537263	-1.09815998287	1.52770298452	-0.947499403359	-2.67713110503	0.309602023297	0.141919843386	-0.837301307497	-0.235626628405	-0.174966314495	-0.585377554672	0.728628923055	0.620921162902	-0.514868194576
KLF1	3	-1.43920777377	2.54827094697	-3.55342415343	10.6022949065	6.77700132602	7.76485517458	-2.48393763683	5.6455649938	-7.38879645798	-12.4199268105	-6.14337331689	-0.0834199467403	-5.78995809148	-8.89488005792	-6.72917970893
CNOT3	1	-0.408789208563	0.165463388278	-0.937209745647	-0.260292976545	0.254375867899	1.09865796022	0.478254587398	0.809236797017	0.32309391997	-1.50284529503	-1.67735245193	-1.04305429798	-0.233837685267	-1.40755622131	-1.78998276695
RYBP	4	-2.32468716345	0.71654106625	0.845063998191	5.93937958093	4.69769398404	1.27250307634	-0.195132234247	3.1817324592	-2.57683519004	-8.97922576471	-9.39755546938	-4.93163453372	-6.057493485	-7.71521759981	-9.34544017629
P53	10	-1.59438849409	1.25185525571	0.492787696961	7.39577053445	5.70576161406	2.53123548044	0.704857803936	4.64601891356	-2.30254357653	-9.61026505675	-8.61393742528	-3.12216477373	-5.50545430608	-7.70363585793	-8.19172522009
BMI1	3	-0.974294438737	0.204172237024	1.6021266481	0.487801990979	1.76395225729	-4.69827502457	-0.0755604653514	-0.424131541998	0.419655845537	-0.498994852945	-2.49669133294	-2.58947526588	-2.08278260999	-1.58489453451	-3.66702549308
REST	12	-1.63669824618	-0.786878675631	-0.134492768147	2.04576591002	-0.371222413481	-0.277608533378	-0.964575944269	-1.16962251431	-2.73255898991	-2.07439864924	-4.2273337777	-2.48188885384	-2.08580320874	-2.82152330594	-4.83163372198
E4F1	2	-0.36121544988	1.13024458449	-1.8256209176	0.124312184238	1.51634665328	0.873287625787	-0.272037666596	1.38054371707	0.250064754289	-1.83615346737	-1.36495190299	-0.181887884345	-0.956703982183	-2.11173342336	-1.78272657303
E2F4	16	1.55325882159	6.83006443655	-3.40306772629	13.4012109682	11.6512838848	11.1290366593	5.09611191267	3.64377128578	-5.78036061411	-11.0159295685	-4.76652031937	4.42163507979	-2.29209488949	-5.01979008762	-2.14972751946
E2F3	2	-3.41621936842	-1.68737393205	-4.31006948594	9.96380228373	3.92339959087	0.614924304253	-1.71513090511	3.44366802654	-5.61719553996	-12.3572745254	-9.73783850774	-4.60004795749	-6.43853907313	-10.2128350145	-9.09656042203
E2F2	3	0.536379182414	2.53042224291	0.469078897912	1.77343754457	-0.110558100093	1.59610333021	-0.50527233908	-3.2299209918	-3.21810405385	1.10084847817	1.20487405914	2.2986542378	0.624771406381	1.79602163058	1.17895221095
E2F1	5	5.68064932508	6.79749381916	0.0252906420058	16.0937769534	11.95719	14.1610048714	5.49011923064	10.2268010039	-1.07940887858	-3.7169389816	4.73730501875	11.7014783656	0.817414375644	0.400575183308	1.91698894742
MBD4	4	0.311726594361	0.7364051893	3.39580368655	1.15553192615	1.71125313668	1.83106105935	2.58370524823	2.50182089647	1.4297150363	-2.23015983395	-2.72779951276	-1.3471786405	-1.01657017475	-1.42261966219	-2.23679603384
MBD1	9	-0.559416350065	1.71272663025	4.67534994252	3.68994469345	4.29703509539	3.28902339409	3.4089323384	3.60858180215	1.55420013788	-5.94558949662	-7.82463028971	-3.98671385005	-4.68493567571	-5.32817696029	-6.29757666265
MBD3	15	-2.43982026532	-0.921192481817	1.91349908409	8.46548446527	5.51781076976	2.08897240785	-0.0395598446169	5.66520301479	-2.65438955868	-11.476868425	-10.6142763277	-5.4710087262	-5.94983796322	-9.78656977133	-10.8947503577
MBD2	6	-0.134179986476	0.413729131206	6.99015410038	1.23607454831	2.03456681433	2.93884590251	4.42551394046	3.54577835089	3.02467687651	-4.10834373085	-6.5737086405	-4.13098371685	-3.58545860442	-3.26058001728	-4.82878476534
AICDA	3	2.09746673723	4.23626339923	0.0953583652653	10.1520046791	8.69074719039	10.415077775	4.83793637138	9.07980685646	0.597767894609	-7.86248110371	-2.24989436516	2.98874538247	-4.03861847709	-5.32373398319	-2.25444566353
STAT4	3	5.81430892792	5.51707049738	-0.522619464092	12.0759951703	9.3024274484	10.4364117535	5.36663897428	10.9003201133	3.16091850867	-1.41833076165	6.78971261565	11.1190666637	0.123633776	2.15366489223	6.39541480318
RARA	8	-0.258490263136	4.79576911635	-0.904819950865	11.1978278389	9.14477159357	9.58350712459	-0.0967644003703	8.24156514673	-3.75662429935	-11.1943339928	-6.32408223227	-0.258249523697	-4.71753504698	-9.54332858882	-9.78656646892
RARB	4	0.104286889533	5.80558509103	-0.848447962076	9.00809564231	9.34488127748	10.154729732	-1.37576075686	7.06521116817	-3.94829649596	-9.8838624817	-4.70160389375	0.62427518947	-3.60433599507	-8.11500022296	-8.0654538386
