TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
KDM2A	2	1.56585262018e-21	0.0761848474982	0.0276524536938	2.60964482004e-11	7.82193548332e-07	4.06188502327e-08	1.25982126359e-06	1.67190096718e-09	3.28378192544e-18	2.54265423118e-70	1.27845418083e-36	8.66153500311e-16	1.17032720215e-24	3.70334897665e-51	3.61346427039e-38
KDM2B	14	1.66469011124e-20	0.270707502805	0.453254064415	8.37214406105e-16	2.64872720624e-11	3.69324166634e-10	0.00229186113903	4.09302406389e-09	8.04032012247e-11	9.81635230597e-54	1.06078760874e-38	1.42447235278e-14	7.04453191739e-26	2.90531194959e-48	5.45456968521e-43
WDR5	4	9.30775996825e-15	0.016724060599	7.64585087413e-07	2.90784936993e-22	6.70156011889e-08	1.05947144794e-08	9.5306742586e-10	3.15086455447e-07	7.38129507878e-21	1.28540242644e-43	8.75250967224e-15	0.00213017409867	1.57220913545e-15	6.24311300504e-23	2.6609919412e-20
PIT1	3	6.09773669906e-11	1.76821860636e-08	0.468266989389	2.13819897178e-29	1.14973581599e-05	7.02575921785e-14	0.232098929221	0.000512557395279	2.64011154693e-10	1.39714797964e-18	2.25052872179e-06	0.00445161803543	5.58485471212e-13	3.6521618904e-19	7.66209848778e-19
EHF	1	4.83709995507e-13	3.50679419703e-05	6.22935172107e-09	0.000187046222914	0.0710100903929	0.00217471121097	5.83187479e-11	0.0397348338855	4.50943081074e-15	1.57726836282e-42	2.07364409974e-23	2.03768519872e-14	3.85926168467e-07	1.36675364655e-23	1.65613005732e-19
GATA6	6	0.0361044967693	0.221854711701	0.358726768164	0.029242171717	0.0944622825211	0.188117263189	0.246659740786	6.46364800024e-07	0.00487820121719	0.0440807238112	0.191849509206	0.232324458923	0.34785552401	0.46308417155	0.000628246575571
GATA4	15	3.77297313546e-13	0.0976107981984	0.0122454124079	5.08199810635e-14	1.29894333343e-10	1.34613412709e-05	0.00301195148108	1.34638224736e-11	1.32508179209e-06	6.45210174308e-46	5.4316757438e-20	0.172814085673	5.13607535101e-11	5.6627958008e-28	1.17828990886e-21
GATA2	22	6.73016461391e-06	0.0209512511938	0.0975577695173	5.25382165932e-12	1.6001165957e-05	0.0399867809669	0.0011438160162	3.04736465874e-15	0.00334348652616	5.45180078763e-13	0.000983507071272	0.0809759338627	1.77860017995e-07	4.76231332217e-08	0.0132829483749
GATA3	19	0.00016613193216	0.000539551275086	0.00977300411294	3.37072915696e-10	1.2738718178e-05	0.0858922856516	0.0101668554398	9.79841485336e-12	0.0573780433748	0.00116594499959	0.289604245281	0.00513298828439	1.90090621381e-09	0.172466385946	0.00193140100397
GATA1	49	4.81048410848e-08	0.00229944165563	0.177747865795	5.75411760464e-09	5.76142383614e-09	1.37369828351e-05	6.83329741405e-05	6.03485416967e-17	3.8010102726e-05	2.62332914315e-31	0.000787521897902	0.151995761925	4.43079594229e-06	1.49962800972e-09	5.8372451782e-05
NOTC1	5	3.64876304528e-07	0.0558594434651	0.0526487940591	3.08209705803e-10	0.000283945779686	0.00073516375381	0.213314862166	3.47133766386e-05	0.000142727613802	1.40400548987e-22	3.81377789066e-13	0.00554111436666	2.63049285873e-05	7.43123412354e-12	6.39209224572e-11
CCND1	1	1.12913628426e-13	0.133600643771	0.358998596373	2.41462507838e-12	4.02228613756e-09	2.96551221994e-06	0.140530569499	7.17976683689e-09	1.52939761268e-05	8.20343549079e-35	5.97766762784e-23	1.76426289927e-12	1.0307692613e-23	1.09602096425e-23	2.62816539564e-27
MAX	7	5.43395202301e-15	2.54096568195e-05	0.014122282065	3.17565781774e-25	4.4041316712e-10	1.45642915807e-20	9.05834296717e-08	4.58401079932e-08	4.74819972523e-18	4.62822147183e-38	1.9565501576e-11	0.00468909557621	7.6820134178e-15	2.42985541413e-25	1.71340916868e-19
MAZ	2	5.3942079934e-11	0.447890810728	0.293843757517	1.67347303624e-24	2.26177256852e-06	8.19711635928e-08	0.224673041603	3.79258963436e-27	0.0111682646363	5.19963375811e-33	3.61382726321e-07	0.0274710410446	3.3487002962e-19	2.73164340412e-12	9.62458916364e-08
AHR	11	0.0347489569211	0.00488199783591	0.0137589657463	0.281739604148	0.463832720712	0.0169800039006	0.015501627497	0.0110934991065	0.0009597799655	0.421040017289	0.00614759545078	0.00540990001942	0.150913937005	0.272692762038	0.264007335143
CSN1	2	2.22032163713e-15	0.141960786775	0.000485213877175	2.03137181667e-23	4.84873553773e-05	1.95846414944e-06	5.46033029007e-12	3.82744329362e-11	1.22637761719e-13	1.51847701741e-53	1.83643298929e-17	0.000525111037835	4.80694188654e-12	3.09548206761e-30	9.5368248156e-21
MAF	6	2.27938379634e-11	3.99379098932e-08	3.67100271365e-06	4.16641876034e-28	2.82159448376e-09	1.27574578011e-19	9.18662831517e-07	7.23477732194e-26	0.207171786372	0.0275651264618	1.95201249866e-15	1.25740251797e-20	0.316472587033	0.0223009307818	7.069110618e-12
CTCF	116	3.67773089615e-14	0.00420486070288	8.42463486284e-09	2.2117214677e-27	8.91699051716e-21	3.38841464218e-11	1.23139251442e-08	2.12616831832e-36	1.7426523363e-05	3.85549546385e-29	3.05099329189e-13	0.177957889158	2.42299219524e-05	5.56150354389e-14	2.71821280523e-13
ATF7	1	0.000385004665209	0.433007815423	0.0110129843224	4.37363896712e-06	0.123062326597	0.0681108507439	0.0352857880538	0.0257683740648	0.00235442946107	0.0135317688106	0.0142486740697	0.0516815051863	3.19768294183e-08	2.91173846975e-07	4.52808232937e-14
BACH2	1	3.42144136772e-06	0.0200935596394	0.00470018913913	8.15925815436e-13	0.0616786570546	0.00296331318142	0.00716490945274	1.77650452557e-13	0.328558225197	0.071212580788	7.09814963765e-13	8.31374395737e-12	0.402802526659	0.000336399978465	8.98164824459e-14
SOX17	8	1.49770157495e-11	0.00077968511075	0.215298730257	1.98961264165e-10	1.49623536153e-05	0.000611370483443	2.70410686347e-06	0.014829409329	1.35511533448e-13	6.17093650212e-20	2.28629282231e-15	7.13468715433e-06	7.33517075811e-24	2.78360236434e-22	8.37377204717e-27
ZIC2	2	5.91962279809e-08	0.000157673453175	0.000937265607565	0.026452437316	0.439162901692	0.151425124604	7.95536068011e-08	0.0128925606907	3.2560467527e-15	1.75661780759e-12	2.07140036946e-11	2.39734524693e-09	6.45003680531e-09	2.71287006515e-11	4.89613233408e-19
ZIC3	2	0.00446979015286	0.00158669123788	0.0800154096912	0.00362154109807	0.0229964566569	0.0676074853372	0.00794323248673	0.00442835319413	0.00187358219886	0.00663228848404	0.000511858247401	0.0101494531947	0.000750471219546	0.00267928906868	0.000389298786727
DMAP1	2	1.01083757641e-10	0.00360137027728	0.00963139401465	1.42606796962e-15	9.3193490656e-07	1.19200365756e-13	3.43204254636e-06	0.0108472189268	5.32783377775e-23	8.61274610265e-19	3.18649540624e-08	0.00633741849762	9.4691328328e-08	4.11864874933e-20	1.5729863086e-18
NFIL3	1	0.00474078748621	4.71530249885e-05	0.17661794309	0.114038429167	0.158796334597	0.162346662271	6.94238014403e-15	0.279557736311	0.000330606551835	0.0352781066988	0.0152751180646	0.180144331611	0.392299488282	0.0666854017373	0.0726067606391
NR1H2	1	0.106972672029	0.32935576515	0.13321929551	0.0588497585734	0.00558993235092	0.0242565714086	0.161084337349	0.428102703342	0.165217848287	0.448165191583	0.484718933358	0.00125684100376	0.309695568688	0.165141144372	0.461264239339
PEBB	5	8.55729782316e-08	0.000584166233652	0.00329907331917	7.51412787394e-15	0.00101293134891	3.68254046174e-09	0.00835966894824	2.65301088482e-10	1.55854738255e-09	3.96755152912e-26	0.0114735467617	0.257890633753	1.58344502535e-07	1.95089387451e-10	0.00166739283286
PPARA	4	2.52962860355e-06	1.28523402435e-12	0.0136727584175	0.0266923037245	0.00229189241314	6.18769529422e-19	4.67317612092e-12	0.00808225913545	1.69222175609e-06	0.0571985254041	0.242798486984	0.0502516396129	0.00174787241967	0.000559799705285	1.51328767213e-14
ING1	2	1.91914174988e-18	0.00512622355777	0.000256507002631	2.70787663519e-52	3.04326893614e-16	4.18662087109e-21	4.30342117161e-08	4.35814552829e-18	1.39741548213e-19	1.92832209002e-48	4.23990957485e-09	0.0483401152604	7.0618092587e-11	5.16572177086e-26	5.36336260775e-19
PHX2A	1	0.00216231071368	0.036604226679	0.229299784532	0.00972259220229	0.438188742317	0.200505275445	0.0822868263462	0.307949510578	0.175209135103	5.22175348405e-07	6.29107729974e-08	7.09136214229e-06	0.00312189592657	0.000315073850301	6.69701112125e-06
PSIP1	3	0.000417438241415	0.000112384508055	7.54588936782e-06	3.8659381707e-06	0.360943307814	4.70268577823e-06	0.213369462284	0.349807817787	4.43589532718e-06	0.171935096699	0.000220821948364	1.89991175085e-08	0.394327725256	0.0227169934625	4.0977275059e-07
TFAP4	1	7.49078500121e-12	0.00608166737767	0.0520152972924	5.25068323243e-29	3.56293246374e-14	4.07029179389e-28	0.0188866511244	8.43094780284e-25	0.110902941548	4.05452197661e-26	0.00541355454724	0.34637502525	1.41756867385e-12	1.05082090309e-12	3.63549848739e-05
PTF1A	8	9.29352741104e-06	0.0266074936039	7.70453354112e-07	0.000365381396771	5.47969514394e-08	3.91630285576e-10	0.293610083175	4.19266414628e-10	0.00118656423872	5.65265707834e-05	2.55448367182e-07	0.0989238146375	0.0140130442574	6.75103304164e-06	1.13002256308e-11
RING2	44	1.60407275931e-19	0.000203820940352	0.112162417412	1.2019131823e-05	5.2798067695e-08	0.353005662641	2.64859552645e-07	0.000357040582589	2.78652541425e-09	5.61912403616e-48	6.4521249105e-50	1.78638809544e-20	3.08615993269e-29	3.34925430075e-44	8.2652871067e-40
RING1	2	1.45201294808e-10	0.23315217995	0.426132088666	1.28832440463e-09	4.68712201042e-08	0.000315060256229	0.064032038047	0.000183701025665	8.56172582107e-09	9.85928568441e-32	8.42586337126e-21	4.88364217764e-05	1.8508007918e-11	1.33820416254e-21	9.6810405613e-18
PRDM4	4	0.00893858439227	8.03740742397e-05	0.000146726794536	0.0213645979736	0.139977897721	8.43577368181e-05	0.000742946760531	0.48165547696	0.000238143071347	0.00172240810458	0.423291331434	0.446861735154	0.0068102405862	0.269344302565	0.137185087687
PRDM5	1	0.000292910859872	0.0151905190897	0.424874013877	0.196571456398	0.28205080681	0.0447096591852	0.196327034503	0.0513924470576	0.049982726446	1.05173263198e-08	4.51091958864e-12	9.0177767368e-08	2.32813437581e-06	3.54340662319e-06	0.000120175625633
CBP	14	4.43819481446e-10	1.23295158269e-13	5.34480981039e-11	1.18478802786e-35	1.09062313194e-07	7.5172514971e-15	0.0410634651723	2.27944047852e-20	0.0188715455889	2.49626904034e-05	0.0750121120453	0.0595953517389	0.00770905860107	0.000481373682804	2.45711882605e-17
PRDM1	3	0.0163299922581	0.115759971808	0.380734545947	0.0758527177784	0.0126619689533	0.256283427521	0.00309582207943	0.000197719091237	0.180120424202	8.00828155895e-05	0.0269553460343	0.194282249263	0.000136844266205	0.00518500158928	0.269432304744
TF2L1	1	6.79089082298e-10	0.0047284797447	1.18186550828e-07	2.38232858042e-08	1.85274701608e-09	3.80822110772e-07	0.00672614276378	0.011893235638	5.09077426734e-05	4.19912724331e-15	8.0981391384e-20	2.66103559441e-08	1.02644301803e-14	2.16269959334e-14	5.77256730531e-20
PRDM9	1	0.00992800970541	0.000698879739544	2.2253998717e-06	0.137598982427	0.104170284348	0.0183997847805	0.025092583585	0.429888017246	2.05965346102e-06	0.033850377613	0.00193150645555	0.257450185945	0.0142090036591	0.239613654532	0.173047537135
ASH2L	2	2.85535238696e-12	4.54789406883e-11	0.0134402958512	1.62117572814e-39	3.76551876071e-15	7.03731919904e-32	0.264830014389	1.88060831162e-21	3.01771806324e-06	9.58377591017e-20	0.136690829891	4.57548802524e-07	2.56940203711e-06	1.4054776147e-06	0.280311548702
SMAD4	2	0.0058999159441	0.0423436398553	1.09537580823e-11	0.0546744779469	0.0578993200537	0.189456797625	0.00936810650581	3.87439040144e-06	0.0165097448264	0.419005538698	0.466519172327	0.0922014970198	0.0257520846926	0.103980745166	0.00769721817326
SMAD5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TLE1	1	0.00578304887921	0.343674527505	2.25090871926e-05	0.305165503503	0.349143577936	0.000731417574716	0.000223130148768	0.0953842501735	0.00501046419663	0.038495169028	0.00065407929216	0.000126750290321	0.000274592216715	0.10386337686	0.00799717912193
SMAD1	8	0.000247223533972	0.0401713085509	0.104298868662	0.00673434053852	0.000567066261863	0.179627704693	0.146810344547	0.00824241601212	8.26873561518e-08	1.7476322647e-17	2.92871463099e-07	0.31024828419	0.165504159606	8.1238025101e-06	0.00518924886487
SMAD2	2	0.0281019511672	0.0539822095261	0.170130136756	0.252402722942	0.222121336614	0.419850660341	0.0416136765343	0.0191228385654	0.0479925661307	1.77558879431e-06	0.00706002533644	0.0839055939556	0.106471449321	0.00242927019592	0.0852881330395
SMAD3	11	4.06285147288e-13	0.092661974949	0.0926115743502	1.09420113246e-18	5.05783268482e-09	0.000346578380173	0.0507951955281	1.10790334894e-07	5.51317530037e-08	1.79796909426e-39	2.01606140213e-24	4.62907292598e-05	4.02827926919e-11	1.49054207596e-27	6.48982839345e-23
REL	5	2.68871611708e-10	0.00434887391003	0.49292181783	1.3151778246e-14	1.86891973373e-08	0.0900435346049	2.41121115893e-08	2.6770098766e-08	6.35507402973e-06	3.35375693849e-08	1.44346639989e-18	7.97187297561e-19	1.98294119052e-08	2.78768830216e-17	2.48535410926e-21
UTF1	3	6.39896013101e-11	0.077407400796	0.000438410328271	0.000471623958903	1.72510560574e-06	0.00214596334918	0.275504723165	5.16707637722e-06	0.00461534623007	8.42406835064e-29	1.73277633598e-27	7.38387173388e-09	9.06274945216e-12	1.24303613259e-22	4.08285611684e-23
NCOA3	1	0.00767193293252	0.050710348066	0.00821886935281	0.00289628416353	0.0189403653153	0.000971108278307	2.92502202864e-05	0.44250881078	0.00011150737481	4.51784482343e-06	0.114577375081	0.477165945574	0.0254124444604	0.0672629876317	0.180877459755
NCOA1	1	0.000920515685464	0.272763322391	3.73386253805e-10	0.000114041553657	0.00265909350167	0.226249593359	2.27747459327e-06	0.256530437508	3.97532444227e-12	7.48206967066e-05	0.205209383162	0.368706041428	0.131527214708	0.2006698305	0.129343890918
KANL3	4	2.63053845194e-18	1.84790326181e-06	4.00042264723e-07	1.69052699363e-36	7.8557772351e-12	4.41061351479e-34	9.70905761014e-06	9.69406941302e-10	6.68832050765e-21	8.88328053798e-36	1.26383448598e-10	0.0275913213676	1.18557944112e-17	1.66314985502e-35	4.56279943998e-22
SMC3	12	5.61281411258e-12	0.000484167412377	0.00118186934304	1.04433089321e-23	4.11015327828e-20	7.80270517649e-07	1.98935059998e-06	6.8326186961e-31	3.26301773932e-05	2.12226426692e-22	2.39584445611e-12	0.231640124263	4.46866059916e-06	6.09732589508e-13	1.12905804224e-11
SMC5	5	1.3611802759e-10	0.00771134585837	0.0107773168781	5.38768385055e-26	1.57914758026e-15	1.2706469308e-19	0.00169399916358	6.38840072991e-25	0.0169773916303	4.34782345273e-24	0.392077358141	8.64149591544e-06	1.71917737462e-10	5.85810769431e-07	0.0306084666429
PO2F2	1	3.36650033065e-05	0.000574722922716	0.00366526174376	0.00539977139159	0.00408802195419	0.441717595429	0.0498992568035	0.215743447978	0.184446013831	0.185615823118	6.81660982502e-06	1.63723986721e-12	2.88633081001e-15	1.3270675573e-09	7.42110553877e-09
ELL3	1	1.75487103509e-05	0.0176909316382	0.365479232337	4.27814911937e-08	0.0997510460402	0.134850420188	0.00175090577219	0.273778908674	0.000105280716089	2.90903752472e-08	2.72050986451e-11	5.95226467213e-08	7.16571596128e-09	9.0396119848e-08	4.58448924451e-08
ELL2	3	0.00186297575541	0.0997290018511	0.130919804499	0.0830397035964	0.334720280812	0.300866988369	0.000719071539446	0.171274588169	4.65390868253e-09	3.89847155195e-06	1.1748384036e-06	9.01675022923e-05	0.0166486948087	0.00936417579374	0.00150548517422
MECP2	8	2.34086263651e-06	0.029722477029	2.98731227301e-10	0.00010792643422	0.0783354694274	0.0157297966446	0.251521429771	0.000917991260464	0.25061313697	1.83606825495e-08	3.51271806205e-11	8.10083509371e-11	0.000212636222807	4.77208815053e-08	4.09508593743e-18
RXRA	33	8.90894296261e-10	7.73198145785e-12	0.0946662875893	6.25745676866e-15	1.35545706708e-05	1.04962404425e-26	3.97933926676e-09	2.03191326941e-13	1.09511111797e-06	3.38241005801e-12	0.114692976958	0.394114324251	3.79702457829e-06	3.05636495402e-07	1.93800418246e-18
SPIB	2	1.20866356642e-05	0.273756874795	0.021248439054	1.20150541177e-05	1.02882423412e-05	1.76023722604e-06	0.0957928337213	5.16669243815e-12	0.000642499271806	3.76199016398e-18	0.0801609975212	0.0121498791916	8.89344710549e-09	4.46878733571e-06	0.0242278590498
OLIG2	2	1.07939071683e-10	0.382385487033	5.28246242383e-10	0.26126766719	3.80788851862e-05	0.456771071792	0.476693096957	0.000238617336958	0.307215693226	1.9258031991e-24	5.34198512815e-34	5.9645481714e-21	5.90053161353e-16	2.41144635196e-15	1.04051913347e-13
YAP1	1	0.0119384643528	8.80334644795e-05	1.0029826576e-05	0.0104889170585	0.00601799338062	0.000329912407058	0.305423853564	0.257420884891	0.108403358286	0.0194494430202	0.429901029147	0.430300114612	0.399980904621	0.160422953482	3.30228054608e-05
MSGN1	1	0.00433238004027	0.154582090395	0.113558157701	2.26681306915e-05	0.19419313812	0.389129854481	0.122457272044	0.000682853003511	0.0131845552515	2.62726594044e-05	0.00405884216386	0.000924393411909	0.0858531199821	1.30630582068e-05	0.000223928164872
CXXC1	1	7.86109544088e-14	0.000297952196298	0.31866282637	3.38967056685e-29	2.86898944294e-07	8.01753125407e-15	9.55792597707e-09	0.0053269913032	1.7928865627e-31	9.82060780042e-31	6.59289107175e-09	0.0378809765004	2.16429396134e-10	2.02573504318e-20	4.73614601014e-21
TBP	13	8.16262597958e-21	5.98342889023e-10	0.00010179690445	1.72105167412e-54	1.05554886167e-21	1.44206021568e-34	9.81120354766e-05	1.98333910564e-26	2.44300327091e-16	5.41204260462e-48	1.1192229459e-07	0.376731841566	4.10625324475e-13	3.85322614913e-26	2.12840625987e-22
UBP16	3	0.0058545722697	0.00130713888715	0.257526696856	3.28560257898e-06	0.349777525721	3.89519396994e-05	0.00197308200174	0.0655069625116	0.000405411781732	0.000188718164019	0.401193087667	0.0300702808893	0.0811777044708	0.0350980417921	0.0108517340119
DNJC2	1	0.0490669017217	0.0645725629798	0.254783701519	0.0237625063688	0.0225260263113	0.329970760242	0.000653941499644	0.00172917602736	0.00114684505846	0.158377784096	0.309690898111	0.180905186952	0.246232687672	0.266270212076	0.213867147755
MYF5	1	1.7086551949e-09	1.62300941574e-10	2.22340915642e-15	1.63925470626e-08	5.50556703537e-13	1.37035529455e-09	2.53349560898e-08	6.76375406422e-10	0.322583322886	5.60152111341e-11	1.45858329135e-11	8.86024657643e-14	8.91180589087e-09	4.94507449329e-05	2.29703959589e-06
MCRS1	2	5.31693547276e-17	0.000111178487024	0.0359991578623	9.20859586844e-22	1.06923173009e-08	3.69979842661e-14	0.000114946337081	2.67192540298e-06	7.77205539302e-18	4.48686407108e-41	5.80008520645e-21	4.40565844156e-09	3.42717085295e-18	2.75300488015e-35	3.83280600777e-33
ERG	7	1.86504060998e-17	5.82400569863e-06	0.240846508981	6.03270233638e-53	1.17166015228e-14	3.65969479675e-41	1.25534015164e-06	4.86706504285e-20	2.77530320803e-18	5.54892098169e-33	0.0197326256991	0.00163106634825	6.00282655266e-14	3.21076367291e-18	2.90902421467e-12
FIZ1	1	0.000149172561575	0.17481355724	0.436303304726	4.86025936794e-06	0.00013945130319	2.22131567063e-14	0.00262616476686	0.0100339274739	6.25392180187e-09	8.19634957732e-06	0.0121410395035	0.499591569293	0.005987779166	4.26952239206e-05	0.00112333025695
