TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
MAZ	2	9.75056689061e-10	0.410110923073	0.0896423754437	6.83543784713e-22	9.86305771106e-10	2.83189439627e-10	0.0576895807902	5.90979232999e-20	0.119397140443	6.18027024675e-26	1.80837824145e-07	0.19650591037	7.3227106116e-11	5.74278261645e-15	2.66083736195e-07
AHR	11	0.0533720266033	0.00997858640304	0.00018376826306	0.00111845235112	0.0654725282588	0.0148263810967	0.471459666387	0.481745874944	0.0667621507816	0.233519697687	0.202770731683	0.176454422279	0.0878800898553	0.429085154303	0.160011883986
CSN1	2	1.32836406699e-12	0.162299324548	0.0172711651674	5.9846750424e-24	4.43875669088e-10	1.73788038115e-08	0.0400418877416	6.59425858379e-09	3.03521756625e-07	6.72355968747e-34	1.21046472454e-17	0.012847322847	2.59575725671e-09	6.1978324164e-25	3.0531014387e-23
MAF	6	2.19642786349e-10	6.45909300433e-05	0.1766403109	4.4333277822e-28	2.96274082592e-20	2.65488072964e-23	3.6745988201e-06	1.01962454886e-24	0.107228440193	3.40415195478e-05	0.000385814121351	2.99167768677e-16	0.0655604626832	0.290778700313	5.07973060448e-06
CTCF	116	3.09338491064e-12	0.000325401130847	2.52970746129e-06	9.21539651273e-20	1.51216419275e-15	2.5786245536e-14	3.95674835412e-05	3.37293779062e-18	0.127948780512	2.57163378279e-26	1.94389218536e-16	0.0720629902555	1.0607351468e-07	6.52110727998e-17	5.83687289984e-17
ATF7	1	0.00161327542959	0.120566996206	0.154452090453	3.42157074202e-07	8.54020835678e-05	0.0154394989543	0.122330131085	7.68488350534e-06	0.250427918893	7.39592310494e-05	0.00811246790887	0.274170596402	0.00728380061022	8.88156327793e-05	3.84328557496e-06
BACH2	1	9.46224734239e-05	0.0463756098642	0.0939463505367	4.6401276893e-11	1.33466298159e-05	4.86033854396e-06	0.0100826403611	7.49722521699e-09	0.115238428841	0.421317023926	6.64582611461e-06	1.45791674942e-09	0.352899564891	0.0398118133221	7.03973937559e-07
SOX17	8	1.56396140251e-06	1.28829301234e-05	0.0855796103539	3.48203455163e-20	5.64069117554e-08	9.32105159195e-05	0.215388606424	0.000843622880452	6.75209729762e-09	8.11888390631e-11	2.95220896652e-05	0.188338505616	0.000277152212257	1.02463159585e-07	1.64994989407e-07
ZIC2	2	2.03978022819e-05	0.247784014298	0.066097133516	9.28007384781e-08	0.00543008925697	0.189028268377	0.263798932519	0.0105334637576	0.00556930572614	5.40052641396e-12	6.77464268896e-11	7.81206513044e-05	1.88079865933e-06	4.89015061076e-09	3.40116764074e-10
ZIC3	2	0.152998738545	0.230081198991	0.250968592086	0.316338353628	0.36561052365	0.354654543218	0.219425556036	0.397833387512	0.376340215805	0.0760527838417	0.0225694091303	0.13954049917	0.0907051261012	0.0736073087861	0.030952513169
DMAP1	2	4.87518194094e-11	3.57831674519e-07	0.00141683658701	8.27233745941e-28	1.66835200787e-16	5.1622961539e-17	0.214010750215	7.61450413408e-05	1.31953430441e-09	3.86065620547e-23	4.2122618433e-09	0.237213758611	9.08154437416e-06	1.28974252171e-15	1.22077945011e-11
NFIL3	1	0.0059208640245	2.50071320229e-05	0.000101259235906	0.373337323992	0.000230536013267	0.00183378029994	0.00355005123804	0.0107038941027	0.240904305206	0.297684528363	0.0907676215699	0.0584525606403	0.264104754844	0.0483928035968	8.81122820323e-07
NR1H2	1	0.0905874429602	0.146621018604	0.358906863484	0.0334693569312	0.00664587100201	0.00565936493789	0.401382283428	0.00978007678743	0.421189944326	0.0885386143086	0.309351058173	0.204231990354	0.139904432903	0.134442643893	0.217446272203
PEBB	5	6.20315779102e-07	0.261579600206	0.00304527904147	1.68744867729e-14	3.33944913399e-08	1.30709030913e-07	0.38179588971	6.30206524976e-12	0.00217184768511	4.86057383127e-19	0.000136786580141	0.295449098169	9.09967114791e-09	3.42605683625e-10	0.0665212129957
PPARA	4	4.82518484548e-09	1.24560507317e-09	4.20364854585e-08	5.81376810207e-05	1.75757841114e-17	2.5924827554e-17	0.00357315678273	3.87869058625e-12	0.109197233784	2.21987592376e-05	1.12481497091e-06	0.00315342948034	0.000274673971286	9.27870411461e-10	8.80346666669e-23
