Gene Symbol	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
Chdh	-0.000449289692193	-0.124274909872	0.00977189218042	0.196372993263	0.0290437785207	0.00209863756417	0.0153724116018	-0.038265326951	-0.0154470451143	-0.068064216132	-0.0881618694023	0.0746581475171	0.0388171502435	-0.0320486610549
D830046C22Rik	0.119389654852	0.0347463136765	0.0977911771664	0.0484795563244	0.105138841328	-0.0288659040388	0.165986122847	0.0617022327	-0.154523453846	-0.112531719652	-0.0498892024619	-0.100533873767	-0.124135231108	-0.110452131074
1810008I18Rik	-0.238859366588	0.0446282486965	-0.0763760687668	0.195907111022	-0.0769022434788	-0.0439747953335	-0.0565830159875	-0.0312182780507	0.0937504435939	0.372958502252	0.455868029105	0.523413263816	0.426604349914	0.699221452729
Ift172	0.0463433975304	0.0532734010728	-0.0204021281029	0.0835707572429	0.152250869021	-0.10848911731	0.127261073136	0.108755771238	-0.15838323715	-0.19515492836	-0.164993630372	-0.257424659767	-0.507606933328	-0.333450949496
Il17c	-0.0922977389051	-0.213050262234	-0.110143311723	0.000352350304313	0.158879084388	0.0729012144525	0.0676569128312	0.0973549319412	0.206455203435	0.0132536114337	0.042301276392	0.123199543644	0.0478552914819	-0.0886732600902
Uvrag	-0.109069081305	-0.104924534515	0.0795728832133	0.0507387921003	0.00904617024629	0.0747486999434	0.0664340176101	-0.0844195966203	0.0350167689327	0.257274428098	0.190475866559	0.116788288022	0.0332669565811	0.107586095047
1810058I24Rik	0.119733378946	-0.0590321666825	-0.00218033970012	-0.0243826992241	-0.0938774128077	0.110186112457	-0.110007149309	0.0052217526822	-0.0512157793427	-0.296976907935	-0.352899881414	0.0227140517526	-0.0651485742389	-0.141368227595
2810021J22Rik	0.0685022520705	-0.00291440561493	-0.025267549382	0.154174865701	0.107742753359	0.0284279557724	0.137982477254	0.152949573042	-0.103820814925	-0.263671123752	-0.156919060368	-0.121651823144	-0.333643031548	-0.288407600673
Ttc3	0.0274426924527	-0.258591213059	0.115134543415	-0.149907065608	-0.0537937194822	-0.0960079008837	-0.131224267901	-0.366339912906	-0.0905735237883	-0.0453597553959	0.0698829377063	0.220953583437	0.0339756087226	-0.0619817564514
Speer4d	0.260753294697	0.782860969967	0.233505325345	0.556981362725	0.352354364376	-0.173090225326	0.343198212844	0.584767541041	0.0167291222868	0.474274352946	0.877943551557	0.442223442789	0.197922663948	0.376467548877
