Gene Symbol	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
Syt3	0.015260985	0.039636869	-0.074655044	-0.054488019	0.02986217	-0.092318348	0.090781036	-0.01817288	-0.022616383	-0.082657451	-0.175728894	0.046198133	-0.051087847	-0.042301811
Syt4	0.028583157	0.068086314	0.001134974	-0.000542495	0.012047679	-0.024837129	0.051226406	-0.022496337	-0.08407797	-0.029306859	-0.022637173	0.019621007	-0.000389876	0.044574766
Syt5	0.109668972	0.638811532	0.097157616	0.259136953	0.23158635	-0.092977032	0.057999479	0.003612203	-0.074581672	-0.1544092	0.122412426	-0.18155937	-0.390517794	-0.320710955
Syt6	-1.444464719	-1.867089839	-1.225241264	-0.921987012	-0.793082154	-0.673336295	-0.226249641	-0.255480709	-0.207666649	1.023073647	0.058047461	1.8258518	0.851199577	0.341010492
Syt7	-0.016657069	0.075343682	0.028449045	-0.051092241	0.000698905	-0.107219429	0.044114835	-0.033790634	0.102467484	-0.043906621	-0.129349015	0.106045293	0.066150517	-0.021037488
Vmn1r79	-0.456825883	-0.381613059	-0.323165655	-0.607074807	-0.470557712	-0.194602735	-0.676347464	-0.167824773	0.274684387	0.314495465	-0.156080437	0.077097539	0.3803041	-0.00066174
Pbld2	0.010557943	-0.125363891	-0.14301588	-0.053659456	0.084566015	-0.226710918	-0.181509824	-0.398949479	0.046085138	0.178622208	0.399463372	0.386689009	0.279569995	0.074716043
Defb42	-0.325781168	0.062457789	-0.031501761	0.022297915	0.039245725	-0.045172272	0.139583259	0.103405465	0.088055184	0.071983046	-0.014051808	-0.046135159	0.09044661	0.002802589
Aqp11	0.184645838	-0.012784816	-0.186263115	0.020776738	0.208999098	-0.138636307	0.06619658	0.206512606	-0.098190187	-0.165368173	-0.590667963	-0.121185673	-0.310210235	-0.304162979
Aqp12	0.077915951	0.074292106	-0.009106524	0.194921455	0.05088757	0.045792581	0.045558846	-0.041073248	-0.033184202	-0.038570196	-0.023209646	-0.013872788	0.069064877	0.006544334
Cyp24a1	-0.083789217	0.095364977	-0.111164546	-0.036532548	0.026957046	-0.064934263	-0.111045844	-0.044829708	0.071663561	-0.24925264	-0.027387906	-0.125247289	-0.000770836	-0.046548088
1810010H24Rik	-0.164927647	-0.062241675	-0.201829005	-0.275450265	-0.399195774	-0.195138602	-0.027103171	-0.264893144	-0.350404961	-0.660777179	-0.852689357	-0.502159515	-0.77532087	-0.830241914
Gm14023	0.216242027	0.069489216	0.082822049	0.07480993	-0.090866477	-0.087069506	0.087669764	-0.056455016	-0.108091957	-0.104001615	-0.003728169	0.121429941	-0.116341728	-0.103715332
9330159M07Rik	-0.122571479	-0.064892088	0.100325707	0.310254227	0.197264339	0.165951491	0.215894996	0.139473244	-0.166216949	-0.020116969	0.111029999	0.058703636	-0.141094892	-0.040438943
B230114P17Rik	-0.042037076	0.039130132	-0.026160569	0.096949983	-0.002318761	-0.223210275	-0.007192623	-0.186491777	-0.197179202	-0.478283291	-0.525430822	-0.35992413	-0.377268232	-0.378366178
Abcb1b	-0.035840139	0.194223112	-0.019744727	0.14710514	0.181592046	0.018892188	0.24317142	0.061842199	-0.244279326	-0.280310767	-0.168954566	-0.284717352	-0.380012356	-0.171972676
Fchsd1	-0.300524904	-0.174209226	-0.259084832	-1.097452876	-0.260936996	0.109228003	-1.346271352	0.109761098	1.249492693	0.769518367	-0.425079564	-0.042028755	0.636153883	0.117639376
Invs	0.019192624	-0.04701197	0.047791387	0.007077271	0.045555564	-0.1013224	0.059565164	-0.057813134	-0.146025957	-0.196171634	-0.084698257	-0.1272562	-0.194257621	-0.066830726
Slc25a18	0.207705531	0.295098619	0.12582584	0.116725335	0.08909179	-0.116660311	-0.090182716	-0.053627087	0.120613835	-0.048313267	-0.043268715	-0.1420934	-0.142968406	-0.039427887
Abcb1a	-0.121231971	-0.075107289	-0.007258638	-0.150592915	0.03449929	0.058553927	-0.070728176	-0.0350733	0.00017662	-0.122492004	-0.263400029	-0.093994066	0.064172017	0.029101936
Sept1	-0.121350087	0.141745442	0.200070017	0.078451442	0.331715904	0.202745786	0.230326271	0.072588956	-0.226165638	-0.055231491	-0.048044671	-0.232312974	-0.1663763	0.179397123
Otop2	-0.13551738	-0.057427208	-0.021233386	-0.112758599	-0.111385768	-0.009667563	-0.123600701	-0.077353381	-0.037500739	0.066058597	-0.023155856	0.017112382	-0.004096565	0.00752928
Dag1	0.191947224	-0.667603042	0.314610091	-0.081873906	0.374980954	-0.229019556	-0.12120023	-0.330603355	0.266393793	0.235429155	0.161078316	-0.220776603	-0.158856286	0.283424698
Myadm	-0.029852132	0.132345606	0.346904389	-0.095579884	-0.050736186	-0.034683821	-0.013559707	-0.257429421	-0.115973679	-0.272595431	0.096930475	0.018791773	-0.276451644	-0.270016887
Polr2k	0.550191496	0.036942385	0.100928228	-0.126890305	0.024654972	0.066371007	-0.267655998	-0.027038699	0.515920788	0.15280417	-0.268695182	0.214327011	0.210554166	0.150002943
A530098C11Rik	0.026629871	-0.003290905	0.053326271	0.088686329	-0.083645386	-0.03199237	-0.008870209	0.078202681	-0.120257544	-0.037743165	-0.093442523	0.052567606	-0.130369541	-0.040449384
Naf1	0.436313625	0.061560457	-0.0110049	0.083905157	0.045844758	-0.006905543	-0.079777456	0.042324085	0.119524289	-0.046652506	-0.121019484	-0.043650915	-0.043332982	-0.123657863
Cebpb	0.15920494	0.60965973	-0.027563635	0.070822265	-0.321821521	0.025573541	0.292417989	0.239942477	-0.143355344	-0.629651823	-0.373668534	-0.51281895	-0.35178839	-0.82347052
Cebpa	0.078609143	0.008145552	0.099757015	-0.129974022	0.230423259	-0.023700068	-0.011362981	-0.362388484	-0.111039708	-0.560469679	-0.437919249	-0.246536231	-0.232761109	-0.772430256
Slc25a14	0.148861944	-0.151754718	-0.051861828	0.126741133	0.049719704	-0.06018988	0.061959594	0.140404037	-0.105991401	0.023579052	-0.016074146	-0.070330302	-0.009541657	-0.025126729
Acvr1	-0.044354726	0.199322774	0.11018126	0.03609126	-0.14395088	-0.133597024	0.164615581	-0.114280006	-0.488729782	-1.001187165	-0.592027772	-0.768638343	-0.851891341	-0.857796955
Il31ra	-0.14777694	0.002403552	-0.100832902	-0.625772557	-0.225067564	-0.012729384	-0.218348959	-0.006506644	-0.087377735	-0.065817417	-0.185073199	-0.212516663	-0.029983968	0.028766911
Cebpd	-0.309896814	-0.078455353	-0.278719093	0.048155341	-0.236683595	-0.897460688	0.520168298	0.490370904	0.45528867	0.7327671	0.175920105	-0.173405585	0.86257128	0.283401018
Pkd2l1	-0.080723337	0.039744086	0.054270085	-0.010570389	0.040976801	0.038195377	0.078197573	0.054622453	-0.061517725	-0.062404413	-0.022600364	-0.404516544	0.029114217	0.047474203
Gm5226	-1.034791193	-1.119890212	0.046437198	-1.395176991	-0.438525761	0.0959231	-1.499450863	-0.423818178	0.996937556	2.449503908	0.08312954	0.852863662	1.750888551	0.514722575
Xab2	0.077268414	0.01054519	0.035567212	0.081725423	0.166115621	0.009596175	0.334937495	0.12983676	-0.197831396	-0.131677573	0.022049668	0.08498708	-0.082906581	-0.13889519
5330421F21Rik	0.03304552	-0.022109082	0.109652165	0.067309385	0.016847515	0.116275377	0.036622813	-0.021303099	-0.041340017	-0.068220903	-0.002966067	-0.069295557	-0.007172135	-0.002905429
Car2	-0.003918114	-0.558860452	0.300453288	-0.267034715	-0.22221844	0.018559777	-0.211592645	-0.229941734	-0.289697973	0.05956747	0.047054064	-0.202475138	-0.262121543	-0.078436865
6720401G13Rik	-0.063928986	-0.04319042	-0.079387293	-0.131225848	-0.32495595	-0.156140091	0.222459782	-0.017651087	-0.28863535	-0.309522306	-0.503059199	-0.114916906	-0.336886151	-0.248324978
Rgs13	0.039563673	0.133393629	-0.013572381	0.117015048	0.035054422	0.091501674	-0.03297711	0.012493084	-0.034218808	-0.020661018	-0.058869847	-0.055338755	-0.076916259	0.031424642
Heg1	-0.186281562	-0.476625911	0.029468711	-0.051282549	-0.23635407	0.088500573	0.045004307	0.225525906	0.005107959	-0.061005942	0.210987915	0.015263914	-0.066274303	0.049643122
Defb40	0.021947389	-0.064376719	-0.023595065	-0.053318654	0.047074378	0.026356638	0.032969903	0.032483935	0.027176351	0.010126931	0.062693635	0.062837075	-0.032542761	-0.015880454
Sacs	0.043164915	-0.148075969	0.068216814	-0.008971549	-0.06797082	-0.005263299	-0.035269348	-0.070649419	-0.081483893	-0.096547372	-0.075941155	-0.019686546	-0.108319799	0.055286063
Car3	1.029938287	2.860429358	-0.446988156	1.830881059	-0.864695562	-0.503049575	-1.128294496	0.03979587	1.428326869	-2.469866898	-2.92596514	-0.945172875	0.567650375	-0.737592935
6330545A04Rik	0.090514234	0.00515818	-0.038956231	-0.063095612	0.01779677	0.056667294	-0.180538405	-0.067516547	-0.256994197	-0.011708197	-0.033188261	-0.009967286	-0.070712055	0.022614112
Cebpz	0.076435172	0.11865101	0.098347976	-0.012000754	-0.016119856	0.034756866	-0.037781461	-0.160782108	0.246904749	0.259283704	0.193195592	0.278064657	0.186012496	0.16814364
Slc27a6	0.175992315	-0.038525927	0.05529854	0.223369012	0.063275008	-0.02964235	0.263255726	0.084827619	-0.215211264	-0.194771169	0.262511927	0.273096285	-0.169847517	-0.008854109
Arl1	0.246359706	0.062764489	0.072075535	-0.064763902	0.018126703	-0.031501906	-0.257647524	-0.119624905	0.199908859	0.052152053	0.063985629	-0.070488713	-0.255985895	-0.25274401
Zfp712	0.071736027	0.040743256	0.12974579	0.085659897	0.054926227	-0.09308834	-0.042082614	-0.100263909	-0.07994747	-0.196924108	-0.045349858	-0.175344219	-0.211170662	-0.175463804
Zfp710	0.060244085	0.234114624	0.115932299	0.01947109	0.013780189	0.105353062	0.110985933	-0.057042968	-0.105411005	-0.009387509	0.109697136	-0.023828138	-0.205129937	-0.10478374
Zfp711	-0.010720852	-0.056772663	0.185437112	0.065543529	-0.010123249	0.005867482	-0.0081693	-0.054195805	-0.13665227	-0.125291699	-0.030877926	-0.038608526	-0.09514878	-0.053124413
Rbm8a	0.017836086	-0.256880786	0.019170725	-0.110949377	-0.015897638	-0.00742988	-0.191542534	-0.065475192	0.034310561	0.183336434	0.1152344	-0.07156908	0.09813143	-0.042159965
Zfp715	-0.015561258	-0.064580763	0.112432666	0.059636907	0.012595773	-0.086703062	0.09642005	-0.136489746	-0.16971871	-0.078063167	0.040537443	-0.176249531	-0.287543253	-0.122791542
Mllt4	-0.135805014	-0.073145725	0.088986348	0.118312331	-0.1660292	-0.018974083	0.186722793	0.054236046	-0.114044812	0.057868883	0.119239526	0.104223836	-0.037829475	-0.051869386
Car6	0.126166753	0.164241295	-0.025069743	0.126326579	0.10092268	0.093617224	0.086787837	0.070224625	0.05547726	0.00696335	-0.017532339	0.041332014	0.258291732	0.148758604
E430024P14Rik	0.055553308	0.094305396	0.009996923	0.112519619	0.032275648	0.011641321	-0.031867505	0.015473181	-0.071672687	-0.131336529	-0.044668393	0.011453358	-0.038145522	-0.028979546
2310003F16Rik	0.141162062	-0.0016255	-0.093941125	0.127041009	-0.091561209	0.041356751	0.03280156	0.16133814	-0.029282301	-0.022302417	0.054228854	0.187953331	-0.008121691	-0.091764139
Mllt1	-0.169435603	0.00971116	-0.038997334	-0.340721162	-0.091048621	-0.047833402	-0.321637329	-0.146043991	0.148417429	-0.023795597	-0.148061167	-0.104394295	-0.006889865	-0.240523454
Mllt3	-0.038308617	0.040835459	-0.104347974	0.067661914	-0.176969565	0.13341427	0.20471572	0.226837854	-0.031716209	-0.001527091	-0.132642843	0.068178623	-0.050308719	-0.051775108
Nlrp4a	-0.049817085	0.135267764	-0.023897354	-0.029211116	0.026333321	0.003243736	-0.035238891	-0.045811133	0.068620259	-0.12698222	-0.035287835	-0.006723493	-0.004441183	-0.089849195
Krt6b	0.132974107	0.124739659	0.055296321	-0.051791265	0.059888164	-0.01718495	-0.091388377	0.271760538	0.102420383	0.167486999	0.021051857	0.218283503	0.136067104	0.002241788
Rtf1	-0.232566432	-0.236221046	-0.164144299	0.08098294	-0.12348884	0.08584039	0.188149893	0.1537959	-0.036028506	0.181956966	0.047335375	0.19068236	0.084767847	0.232578516
A930005G22Rik	0.03284378	0.092255563	0.125786453	0.039956392	0.024849503	0.07782348	0.056311606	0.061618368	-0.054297796	0.038438896	0.050659042	-0.027170512	0.012580076	-0.051709401
Krt6a	-0.224627331	-0.009957488	-0.019439668	-0.010235475	0.079685955	-0.054458746	-0.007790714	0.020809019	0.210571681	0.276049861	0.47648589	0.292010017	0.513651938	0.200814962
Colq	0.013890628	-0.384479765	-0.098100724	-0.112129358	0.073489293	0.192170182	0.111927929	0.098914494	-0.117252521	0.000111204	0.285725256	-0.023185686	-0.260016408	-0.050901193
Pramef8	0.025016785	0.131037217	0.098021555	-0.049290038	-0.080013986	-0.066949221	0.027966831	-0.196290565	-0.132540121	0.119925884	0.186987907	0.096427672	0.082891632	-0.025088435
Zbtb40	0.024156622	0.166420666	-0.022114712	0.017000389	-0.027618681	0.080083342	0.157384776	0.130883422	-0.087617471	-0.125080904	-0.052471934	0.074032578	0.007554138	0.056773527
Rasl10a	0.17838308	0.174648008	0.005264531	0.375892309	0.114156197	-0.047107721	0.331143142	0.236348012	-0.465117403	-0.28278121	-0.179015531	0.092666204	-0.209434367	-0.06438139
Gm4861	0.073183207	0.074701197	-0.025921403	0.04217655	0.060519437	-0.021344043	0.055246446	0.033880925	-0.01770175	0.022852711	0.026254851	0.006112614	0.071893843	-0.028339555
Nosip	-0.01636549	0.041832754	0.039624661	0.082397709	0.192616887	0.024185146	0.287495432	0.063096911	-0.232033364	0.143866362	0.211314322	-0.066048249	-0.179379392	-0.04956996
Olfr1298	0.082352362	0.011956585	-0.083520507	-0.064511644	-0.066656219	0.013301274	0.007741068	0.080215841	0.130862907	0.177435269	0.045625217	0.004059195	0.069526552	0.047574857
Btg3	0.14997928	-0.006599946	0.099770721	0.175692236	0.372520755	0.057812568	0.096579395	-0.054073796	-0.174095328	-0.305142403	-0.18558626	-0.532124836	-0.490942511	-0.690135506
Btg2	-0.094241558	0.053652026	0.042769741	0.264978664	-0.803656066	-0.244693955	0.747543469	0.039220732	0.297899576	-0.060520828	-0.296101154	-0.548042014	-0.187508636	-0.585806518
Snrpd1	0.188896748	-0.027524005	0.127818786	0.027870126	0.022982869	0.032127547	-0.139135944	-0.029247492	0.213109506	0.025799008	0.04691487	0.084793179	0.124440382	-0.023637311
Fam203a	0.182086644	0.070649741	0.159928477	0.375400818	0.42078721	0.047642291	0.389608923	0.211907494	-0.341095057	-0.346149229	0.007837654	-0.060346368	-0.335275554	-0.25146729
Smok3a	0.050005375	-0.060948936	-0.031499976	-0.075578783	-0.012020374	-0.035657017	-0.030694813	-0.03432526	-0.029292607	-0.012113499	-0.005418662	-0.021688617	-0.011439538	0.006475887
Cspg5	-0.237602151	0.057571398	-0.14660353	-0.352899112	-0.251123228	-0.026736349	-0.363204162	-0.018633859	0.081519837	-0.093436339	-0.199195938	-0.051201474	0.134564226	-0.118915238
Smarcd2	-0.23207716	-0.05148418	-0.159968752	-0.067752334	-0.014483317	0.113127065	0.084266079	0.116937753	-0.116105696	-0.38745361	-0.292200063	-0.21326444	-0.069066627	0.00160121
Zswim4	0.043441898	0.090239879	0.079420967	0.12178697	0.14080328	0.056404188	0.143847268	0.029572029	-0.104795271	-0.05331452	-0.022473952	-0.105935419	-0.067087319	-0.104774499
Zswim5	0.112942978	-0.010871385	-0.001191135	-0.019030155	0.044950178	-0.035026882	-0.030094212	-0.066257598	0.006552628	-0.062319159	-0.065345895	0.006437054	-0.01155259	-0.042311062
Pif1	-0.93425621	-0.088423934	0.007543906	-0.323667438	-0.285573135	0.150928839	-0.224144054	-0.069099414	0.527792939	0.69359551	0.249277453	0.41549641	0.673483219	0.878315144
Zswim7	0.295302183	0.391865077	-0.059838481	0.288565288	0.224077429	0.207333269	0.111715204	0.345497426	-0.111321342	-0.469070582	-0.26636233	-0.17852375	-0.25911761	-0.386653421
Aig1	0.312379573	0.153772314	0.041357927	0.126485673	0.163315133	0.049358987	0.052062159	-0.025510193	-0.04458549	-0.104493644	0.035759194	-0.114929631	-0.046223945	-0.085807897
Nupl1	0.102654827	0.081737904	0.150784522	0.091703678	0.031681179	-0.146707836	-0.034940403	-0.210582924	-0.37002534	-0.259350912	-0.008397664	-0.234205248	-0.313389549	-0.260817381
Nupl2	0.111138409	0.162036859	0.153412276	0.214537435	0.091301535	0.067692906	0.267335126	0.000718911	-0.416125782	-0.214920362	0.026394133	-0.085850407	-0.379088454	-0.39072949
Zswim3	-0.041759284	0.140925239	0.124090418	-0.128938948	0.068977753	0.161607845	0.024507189	0.074579644	0.023088933	-0.228362808	-0.53346492	-0.239618129	-0.152586616	-0.073867053
Clcnka	0.085647068	-0.164375045	-0.04781522	-0.241525766	-0.018102613	0.019264869	-0.23173891	-0.005695663	0.538298108	0.323511826	-0.020553512	0.064100168	0.360271344	0.139438589
Ndrg1	0.039010479	-0.045497287	-0.001180634	0.042964717	-0.176291596	-0.029063773	0.182535675	0.009735125	-0.034139045	-0.115213176	-0.063972043	-0.097560668	0.11901013	-0.178601692
Ndrg2	0.051146034	-0.098841788	-0.285183553	0.15113074	-0.01050084	-0.159317894	0.593080243	0.276414942	-0.563356676	-0.716069688	-0.635327622	-0.05600293	-0.245777261	-0.159461529
Ndrg3	-0.003479782	-0.185775845	0.043995123	-0.083642146	0.091051932	-0.151018445	0.160786241	-0.102941937	-0.224141556	-0.127939102	-0.11849356	-0.045408238	-0.224680015	-0.130848828
Ndrg4	-0.02014269	0.305703676	-0.173947811	-0.074746295	-0.093811711	0.02932944	-0.201529111	-0.016457008	-0.200125415	-0.819045121	-0.252736641	-0.01082994	-0.185725474	-0.05239539
Npat	-0.059730625	-0.034754497	-0.01321644	-0.055277356	-0.129624992	-0.039645922	-0.050523789	-0.045098785	0.260630369	0.622818325	0.455094687	0.47628858	0.471956073	0.620086486
Ttc30a1	0.168776634	0.040440834	0.003952989	-0.127052343	-0.210927313	0.00631359	-0.343324933	0.001233225	0.360905545	-0.04524498	-0.13450948	-0.034222091	0.101282844	0.052583406
H19	-0.113769448	0.071635049	-0.065281806	-0.500015017	-1.480623633	0.003975391	-0.523736772	-0.157942546	0.360503891	-0.449910883	-0.212968891	-0.176863906	0.437018117	0.022007552
Tex13a	-0.016593621	-0.045686012	-0.016551401	0.02168849	-0.019842141	-0.061067562	-0.031066198	-0.047990983	0.005365177	-0.018434379	0.011912097	0.001402257	-0.041407064	0.000271439
Chchd8	0.181352073	0.231577988	0.216517246	0.153835648	0.138915081	0.124556046	-0.006497998	-0.128641526	-0.145059714	-0.142842562	0.1562855	0.007697872	-0.320925049	-0.248392807
