TF	Number_of_ChIPexp	p_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
WDR5	4	6.35960277929e-12	0.00121239666927	0.00128492005454	9.16994529039e-30	5.51086830093e-14	2.27499599162e-10	0.371343993676	2.44457526236e-08	8.31527004973e-07	4.76454750852e-30	1.57566169609e-14	0.257772231571	9.89810732334e-08	2.31906493473e-18	2.94774287891e-17
PIT1	3	6.51579397988e-11	9.15079179366e-09	0.49970984403	2.9149728434e-20	2.81446670417e-15	1.10019542627e-18	0.0155190555718	6.61425872591e-08	3.88797917564e-06	4.26327128652e-22	5.88671257928e-09	0.352651009772	2.61606784436e-05	5.50178378995e-18	1.18490060871e-16
EHF	1	2.20421794172e-07	0.0641507183279	0.0568394482273	3.16774655977e-10	0.0161046263414	0.386856024404	0.299778971786	0.000621171747752	0.00189308890595	5.1605450011e-19	3.31623059686e-15	1.15313454545e-06	1.1191455137e-07	3.55980322517e-14	3.20438688561e-14
GATA6	6	0.00103091930971	0.0442391701744	0.0817989835142	5.8811689255e-05	6.44709878509e-05	0.00776090425394	0.313472584593	0.00285525747243	0.0160437889919	4.0322294931e-05	0.000223574155014	0.0783577544753	0.00717326577577	7.59695975098e-05	2.60191380089e-09
GATA4	15	3.1796595075e-14	0.0630883900988	0.00851968898118	4.79898874626e-20	5.7185405078e-14	1.82891683674e-06	0.230054450542	4.6201919931e-12	0.00139999014934	3.93426043438e-40	4.70147256828e-26	0.0125999531773	6.5087330428e-11	5.55260464619e-30	3.19338847262e-27
GATA2	22	3.34255816394e-06	0.00277698085801	0.0415763334531	1.39843852474e-14	1.55780141047e-10	7.7007270485e-16	0.000687851342452	5.47988141525e-15	0.390624994713	1.30467080261e-06	0.319131145403	3.91564102655e-05	0.002002232659	0.00493844185377	0.472711404556
GATA3	19	4.40507422132e-05	0.000358194825604	0.167354826619	1.92697120519e-11	4.13774033889e-08	2.83631089853e-05	5.87831760288e-05	1.35666106563e-11	0.0773709621405	0.100531044693	0.00254371970001	4.66913444048e-08	0.0877057357936	0.461683204891	2.56162217961e-06
GATA1	49	4.14519677561e-12	1.10894534933e-05	0.346863501352	1.26422837002e-26	1.15862135119e-15	1.75577100021e-35	4.83724435596e-05	1.92349853229e-21	0.0999086179622	1.8003847482e-26	0.000190948510026	0.0144472708349	2.14779987511e-07	7.97872504616e-10	5.64990157332e-06
NOTC1	5	2.03623346651e-07	0.0115295214845	0.0292326916704	2.79585781585e-10	3.55317478522e-09	3.71246223657e-06	0.0173860146376	4.64692313686e-07	0.252884754932	1.55053700152e-16	6.6079184457e-13	0.00507658815585	4.37684437805e-07	5.23951170349e-12	6.95429913789e-11
CCND1	1	4.65467921679e-11	0.018013630059	0.138254137318	1.89640375722e-16	1.86715358906e-09	3.24513196993e-08	0.287310136444	5.03746719753e-07	0.000393412504513	3.20373781295e-29	1.2343188631e-20	6.9547497839e-05	1.63947629765e-09	1.79983917743e-20	1.69479812164e-19
MAX	7	3.73228464035e-14	7.29470070662e-09	0.0899593785124	1.60487261791e-37	5.65703538008e-22	1.41278153868e-22	0.494269484821	2.3810061667e-10	1.68799431214e-07	5.32225906453e-30	4.65635479307e-12	0.187871678543	1.28445793972e-07	8.34875855976e-19	1.21912357707e-16
MAZ	2	9.75056688806e-10	0.410110922301	0.0896423750988	6.83543785218e-22	9.86305771656e-10	2.83189439945e-10	0.0576895806377	5.90979238123e-20	0.119397140522	6.18027012137e-26	1.80837825196e-07	0.196505910173	7.32271066091e-11	5.74278262014e-15	2.66083736477e-07
AHR	11	0.0533720265405	0.00997858626139	0.000183768263256	0.00111845235161	0.0654725282461	0.0148263811247	0.471459666076	0.481745874419	0.0667621499168	0.233519697639	0.202770731932	0.176454421787	0.0878800904464	0.429085154494	0.1600118846
CSN1	2	1.32836406793e-12	0.162299323997	0.0172711651267	5.98467496945e-24	4.43875675791e-10	1.73788038376e-08	0.040041887606	6.59425853413e-09	3.03521750605e-07	6.72355969659e-34	1.21046472608e-17	0.0128473228302	2.5957572663e-09	6.19783249801e-25	3.05310151137e-23
MAF	6	2.19642787186e-10	6.45909295798e-05	0.176640310224	4.433327766e-28	2.96274086003e-20	2.65488079256e-23	3.67459888176e-06	1.01962455716e-24	0.107228441001	3.40415197743e-05	0.000385814118867	2.9916776716e-16	0.0655604627626	0.290778700508	5.07973062144e-06
CTCF	116	3.09338492334e-12	0.00032540113448	2.52970750205e-06	9.21539648282e-20	1.51216424345e-15	2.57862455695e-14	3.95674831974e-05	3.37293777846e-18	0.127948782135	2.57163376848e-26	1.9438921898e-16	0.0720629901451	1.06073514169e-07	6.52110729687e-17	5.8368729307e-17
ATF7	1	0.00161327542991	0.120566995871	0.154452089395	3.42157071889e-07	8.54020837856e-05	0.0154394991095	0.122330130351	7.68488349896e-06	0.250427919374	7.39592321115e-05	0.00811246787957	0.274170596415	0.00728380062682	8.88156328473e-05	3.84328556569e-06
BACH2	1	9.46224732173e-05	0.0463756099346	0.0939463499785	4.64012753718e-11	1.33466297508e-05	4.86033856082e-06	0.0100826404166	7.49722527308e-09	0.115238428472	0.421317023723	6.64582609322e-06	1.4579167451e-09	0.352899565411	0.039811813289	7.03973940577e-07
SOX17	8	1.56396139118e-06	1.28829300785e-05	0.0855796102856	3.48203437916e-20	5.64069123239e-08	9.32105150814e-05	0.215388605854	0.00084362288333	6.75209704504e-09	8.11888384236e-11	2.95220896114e-05	0.188338505411	0.000277152211513	1.02463160228e-07	1.64994988602e-07
ZIC2	2	2.03978023e-05	0.247784013779	0.0660971335072	9.28007400697e-08	0.00543008933662	0.189028268427	0.263798931591	0.0105334637963	0.00556930563546	5.40052643315e-12	6.77464269812e-11	7.81206518904e-05	1.88079864122e-06	4.8901505942e-09	3.40116763851e-10
ZIC3	2	0.152998738498	0.230081198695	0.250968591598	0.316338353421	0.365610524083	0.354654543838	0.219425555989	0.397833387116	0.376340215997	0.0760527838019	0.0225694090892	0.139540499373	0.0907051260966	0.073607308888	0.0309525130732
DMAP1	2	4.87518195181e-11	3.57831682082e-07	0.00141683657754	8.27233756686e-28	1.66835201427e-16	5.16229610332e-17	0.214010750926	7.61450413998e-05	1.31953429138e-09	3.86065624315e-23	4.21226184448e-09	0.237213758358	9.08154438312e-06	1.28974252431e-15	1.22077945438e-11
NFIL3	1	0.00592086402752	2.50071322059e-05	0.000101259235242	0.373337323313	0.000230536012386	0.00183378029596	0.0035500512448	0.010703894131	0.24090430458	0.29768452901	0.0907676215539	0.058452560721	0.264104755301	0.0483928035509	8.81122827447e-07
NR1H2	1	0.0905874429615	0.146621018908	0.35890686337	0.0334693567857	0.00664587099651	0.00565936494616	0.401382282956	0.00978007681103	0.42118994408	0.0885386147487	0.309351057842	0.204231990284	0.139904432647	0.134442643726	0.217446272423
PEBB	5	6.20315779263e-07	0.261579599228	0.0030452790464	1.68744868006e-14	3.33944915345e-08	1.30709030677e-07	0.381795889659	6.30206527727e-12	0.00217184765321	4.8605737686e-19	0.000136786580912	0.295449097969	9.09967127757e-09	3.42605683641e-10	0.0665212132755
PPARA	4	4.82518484616e-09	1.24560509151e-09	4.2036485837e-08	5.81376806922e-05	1.75757840923e-17	2.59248274444e-17	0.00357315673643	3.87869058247e-12	0.109197232937	2.21987590621e-05	1.12481496206e-06	0.00315342948105	0.000274673971405	9.27870413286e-10	8.80346687845e-23
ING1	2	2.88812125837e-15	0.0061014052624	6.04794178843e-09	2.11115032677e-44	1.11370801253e-15	3.33786277486e-12	0.0534693223948	1.35009518584e-09	2.15744971359e-12	9.40945436523e-43	1.04089799303e-13	0.0937662592611	8.73132337382e-08	1.08010144639e-23	7.19193735198e-16
PHX2A	1	0.163845483691	0.466054537177	0.229226065468	0.0949315757062	0.224144696358	0.434662779108	0.173140949262	0.493023389197	0.0486288480683	0.0541894448336	0.120007668488	0.233193288177	0.331271337098	0.0709678390734	0.0687137752649
PSIP1	3	0.19990996804	0.219166150613	0.106963438776	0.352427006548	0.163320572838	0.360150474017	0.366893847518	0.397298447677	0.408251988025	0.0491879751382	0.089125655826	0.167824571072	0.216696037955	0.208506262826	0.169358299169
TFAP4	1	1.12869231907e-10	3.46176455217e-05	0.158758419446	9.25897652256e-25	4.23262222352e-19	2.64332917471e-21	0.000377709583994	1.7060435515e-17	0.466558745499	3.348888077e-21	1.91220944764e-05	0.103580784888	5.55127486033e-08	1.38968326994e-13	6.2175836643e-05
PTF1A	8	1.06561414717e-05	0.0513383250632	0.0102922690921	0.000696123528364	0.00152406340684	0.00908786113374	0.324229341701	0.000455836827639	0.431041423773	6.23377538551e-09	2.49556422962e-14	1.68532666923e-07	5.09755189578e-05	3.75156033591e-09	1.49602037593e-13
RING2	44	1.27926533035e-11	0.0611853628966	0.255943330784	1.13135161287e-10	3.79126087428e-05	0.00738305516996	0.393971821953	0.00236241183685	0.0161281590952	1.12715554184e-23	1.02493861031e-32	1.62657016881e-14	4.68116491143e-13	1.22998896168e-19	3.90323634481e-30
RING1	2	4.42276996035e-09	0.00025338808556	0.380912634388	8.2737082974e-15	4.99541262909e-12	6.90256949315e-08	0.44403121671	0.000128688277308	0.000433889790935	3.52221564341e-20	1.27573659665e-14	0.0394528669746	1.85426511254e-07	3.99305933659e-16	1.22281836018e-16
PRDM4	4	0.140699591628	0.224158205199	0.354318928034	0.00759266743318	0.286755019534	0.433968558766	0.480876799918	0.161542772577	0.0648993218925	0.0761589300712	0.13785296873	0.451700642076	0.0989321260867	0.0632364560021	0.106153178846
PRDM5	1	0.119428061683	0.33893890483	0.334525598168	0.428792646715	0.332626045813	0.158998156433	0.26294285062	0.491407056618	0.111052174209	0.0133512356508	0.00961640883669	0.108180094684	0.0783580950478	0.053968962332	0.0554119492836
CBP	14	3.39205728443e-09	0.000325268750645	0.00110948681816	4.62513575444e-20	6.95387918521e-19	1.53507234633e-12	0.239343028182	1.56598476479e-17	0.19248219809	1.72407872889e-10	3.97841233492e-07	0.310869961904	0.000600856362015	1.25197947398e-08	1.29487285429e-17
PRDM1	3	0.026019308382	0.0130207500638	0.0838847742924	0.00145192322349	0.000452521719759	0.0585138322964	0.0519301412871	8.90947572502e-06	0.00739614598393	0.194244270465	0.402883137268	0.226637341763	0.237298282156	0.278866248839	0.386503347094
TF2L1	1	0.000158728261724	0.0697204715575	0.0582588471495	3.89902405291e-07	2.53511784118e-06	0.000506431444827	0.494211645544	0.0149317122901	0.00990481098376	1.57474024237e-09	2.60297575169e-07	0.0409053549562	0.00250352256545	5.33132190542e-06	1.9375293968e-07
PRDM9	1	0.266204176214	0.432568527688	0.224969312468	0.357638117869	0.220918957979	0.392216940204	0.21834018797	0.0934536404163	0.152426727464	0.336288970249	0.279673303618	0.285842693426	0.339938492331	0.368975164033	0.283757617686
ASH2L	2	4.59151643359e-13	2.41841489886e-11	9.44500809747e-05	7.38235684157e-34	3.09457345815e-28	1.58459147011e-36	0.00164515276695	1.00377539873e-19	0.0349063821587	6.41734279571e-18	0.285070661638	1.08101264158e-08	0.000944526608421	7.1129876928e-09	0.0292272063826
SMAD4	2	0.00864228634956	0.036178373252	0.00095811804783	0.000199960372049	0.00215509398662	0.00704951560885	0.00398796346966	1.13434453914e-05	0.051355396614	0.00898312909536	0.019087936626	0.41332020508	0.141804290253	0.0658108165578	0.0801348610328
SMAD5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TLE1	1	0.173353920661	0.376879737026	0.133519153952	0.46762730885	0.407114756898	0.0487482945173	0.416745471375	0.166319574887	0.258347316185	0.293178367158	0.124623133727	0.0183818779143	0.335158538574	0.0539122126819	0.218108574301
SMAD1	8	0.0259847790016	0.170057791883	0.224910881694	0.000344243946741	0.000637633667847	0.0627672735868	0.212860606194	0.139018448885	0.000426532607982	0.00010604633386	0.101436168864	0.16733888888	0.434404265862	0.0462375728023	0.266068894817
SMAD2	2	0.185771773592	0.446025867656	0.0961904188092	0.32298214554	0.469806268478	0.261308183258	0.459805112615	0.337925511713	0.326488123539	0.172056257386	0.102064035302	0.128989359329	0.162620972287	0.068134080717	0.0269199208087
SMAD3	11	1.24557921646e-11	0.0206081102601	0.0732249434857	1.258187769e-20	6.14605860119e-13	2.3858365058e-06	0.46111667893	4.79474724117e-09	0.000329026003474	1.87078381247e-30	3.04592170252e-19	0.00505913633098	1.3006845194e-07	2.15298040292e-23	1.32337020309e-20
REL	5	3.34466972258e-07	0.00174267801935	8.53030874721e-07	2.59441702094e-13	7.16670945339e-06	4.79273822664e-10	0.00129030169043	7.64302260013e-09	0.0151186859375	0.000540226074489	2.39493250808e-10	8.4107607802e-15	0.00776049472768	4.25148714815e-06	3.09182789343e-08
UTF1	3	4.42529028581e-08	0.0129494136511	0.00076867238485	6.17461329216e-10	2.76230687879e-09	8.65033998095e-07	0.0184374972764	4.59989433385e-07	0.449272341117	5.92971410073e-15	3.95566447245e-16	0.000353803403345	6.56013059032e-07	1.09881206136e-12	3.2996496961e-15
NCOA3	1	0.312413248136	0.208259285827	0.287660221338	0.425321790883	0.421754345489	0.446923200605	0.251982092565	0.164570707135	0.108447846901	0.371389233039	0.456436039477	0.482236310605	0.410700410383	0.301349426937	0.386109161175
NCOA1	1	0.0108375076995	0.000944047967935	0.000168370609945	0.00315870279149	0.102812988095	0.00162089835372	0.00112217662096	0.409701035676	0.00034388567313	0.000777225047868	0.0622102551379	0.140870845153	0.0661461402755	0.1377852341	0.375456437198
KANL3	4	1.74882123633e-17	1.41153651897e-06	3.46769044375e-07	1.20069494123e-31	3.19808137391e-18	3.72915444009e-23	0.0958703979331	4.3462355095e-10	9.06230117494e-11	1.38349458518e-46	4.52040298566e-18	0.201257970588	1.50007831364e-10	4.85806633617e-35	1.03097824235e-23
SMC3	12	2.8045082113e-08	0.00157308000071	0.00605179166594	5.49379063226e-17	1.2629823583e-14	1.49336733798e-07	0.000153509190501	1.10515252216e-12	0.115009492928	2.75153393461e-16	3.94363579875e-10	0.452374535708	0.00079128371129	1.09175552069e-10	2.28142119046e-09
SMC5	5	1.98558594903e-10	2.16832576853e-06	0.0129017765542	1.05385328176e-24	1.24449184557e-23	1.18284986363e-25	6.18030667044e-05	1.56907924238e-21	0.490379618672	3.64796962999e-11	0.156150763749	3.79941680526e-09	3.74913226422e-06	0.000485345657802	0.00182173122648
PO2F2	1	0.0455527695044	0.216209713197	0.0725159652266	0.011788980333	0.0353897716228	0.0776085409122	0.110304084621	0.0020504627149	0.207945257049	0.00828552206517	0.173679105161	0.302298461856	0.00192389673894	0.0257116989037	0.322423168377
ELL3	1	0.00147579879902	0.109623143972	0.23295621417	3.0599796671e-07	0.028065515305	0.326836553835	0.140769118988	0.00228499050575	0.00794798573291	2.34236430432e-08	3.70231927212e-05	0.0439937278645	0.00601472214041	4.39324234439e-05	0.00012583826583
ELL2	3	0.0531279771495	0.431571911467	0.185863958146	0.000681897678693	0.00248221784196	0.343136281443	0.346406644205	0.0235650790193	0.00747523795589	0.022706212833	0.0375901936721	0.476086428219	0.096312370647	0.171976352379	0.0745960475683
MECP2	8	0.000461614379478	0.469112658934	1.46335568776e-07	0.419490781747	0.037868753144	0.110736277632	0.000281558757303	0.00041393038797	0.00219011425177	0.000296614510553	2.98625333555e-08	0.000251624798555	0.00238395474222	0.00024325441196	5.00721071154e-07
RXRA	33	2.26429501956e-13	1.01534875076e-08	0.000703739613686	4.43065013513e-16	1.35041967599e-21	1.16196788862e-22	0.0222284258597	1.63788422168e-21	0.0236832268956	1.96649536309e-18	2.05297443204e-10	0.0314412962474	1.85118161571e-07	1.50822943844e-18	6.13448974593e-31
SPIB	2	1.10288208215e-08	0.0119582802164	0.0426852408547	6.96692822691e-22	5.17807872669e-13	1.25953338881e-21	0.00032655691131	6.44550052305e-20	0.159032856191	4.69772897006e-13	0.397017602121	1.50022896682e-07	2.61541731968e-06	6.07990948172e-05	0.11403685757
OLIG2	2	0.000548994385136	0.287430305033	0.219750193779	0.00896874108563	0.000383022412148	0.249109103793	0.337063916613	0.0258203114147	0.0426798094022	1.11859891186e-10	1.89326654873e-10	0.00242883883246	0.00755082647659	5.45223706936e-06	5.31365384544e-06
YAP1	1	0.21276427431	0.113992476086	0.332234009801	0.0514210618524	0.301078460756	0.210032613392	0.381206162614	0.157455343729	0.315981680174	0.321238675901	0.191289804281	0.12508593374	0.342684593256	0.251979870907	0.2512964635
MSGN1	1	0.253859571495	0.206730556982	0.466295945329	0.150430140478	0.444887858808	0.401528073384	0.102862531674	0.193373365497	0.0731436264103	0.406351750718	0.49269036413	0.449194311512	0.101949249932	0.304581275646	0.438645736149
CXXC1	1	1.20933050978e-12	1.62768569176e-06	0.000469835399256	4.35544526635e-30	1.64370557509e-14	1.12947090138e-19	0.169805253342	2.90660159814e-06	1.10904674087e-10	6.2551059555e-31	1.90137285391e-10	0.323676475683	2.26872439218e-06	1.04017258529e-19	4.65366909502e-15
TBP	13	3.76562585283e-17	1.32461757136e-08	0.000617165875932	7.94313700523e-46	4.74294722043e-30	4.5822924203e-30	0.260821827073	7.02933622524e-20	2.50748085659e-06	6.05123113615e-35	2.1648295957e-09	0.0492634287593	7.20385188239e-08	6.68556228846e-23	5.71628785747e-17
