TF	Number_of_ChIPexp	q_value_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
TF2L1	1	2.21615656215e-09	0.0108420697176	1.30869985551e-06	4.66197058409e-08	7.00955954418e-09	9.29533539196e-07	0.0135118089149	0.0164619785965	0.000110584283128	9.53201884232e-15	5.03637694361e-19	1.20811015986e-07	5.48241329629e-14	6.86619311451e-14	2.9781199507e-19
PRDM9	1	0.0159019240018	0.00199554340725	1.60370085993e-05	0.160179328261	0.129926673335	0.0253905844691	0.0414255743548	0.458143567676	5.3433295503e-06	0.0410911000971	0.00313179975293	0.30021114801	0.0191420998849	0.262764732265	0.198392883483
ASH2L	2	1.07826796257e-11	9.3851995784e-10	0.029477750321	1.98922643398e-38	3.41909103472e-14	1.33122621515e-30	0.3010052746	1.49788802364e-20	7.69687640848e-06	2.73649953662e-19	0.162880936405	1.66181725077e-06	5.47656584435e-06	2.63672246726e-06	0.308886997842
SMAD4	2	0.0103335301072	0.0699054999793	4.52091469941e-10	0.0680060629805	0.0787014709712	0.215572396295	0.0179456555006	8.37606305836e-06	0.024257036088	0.435305525329	0.479184851214	0.134488920846	0.0330266848882	0.121355419809	0.0105895062141
SMAD5	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
TLE1	1	0.00941378048445	0.37782804047	0.000113178678656	0.3222393471	0.385434457954	0.00125005372371	0.000643006155952	0.117098756674	0.0081959294561	0.0457893223956	0.00111910522648	0.000331753242616	0.000466477025665	0.121355419809	0.0108861663787
SMAD1	8	0.000400333160076	0.0675473114152	0.15943328745	0.00937849878677	0.00104229993071	0.206982177489	0.186178481632	0.0118419521187	2.80149699201e-07	4.40791693429e-17	6.64818221236e-07	0.347976440477	0.190225034079	1.43509974303e-05	0.00724898149124
SMAD2	2	0.0377633423997	0.0862955039607	0.2391302851	0.277459651854	0.257072527369	0.436183523558	0.0636114786079	0.0256857062387	0.0646546736598	2.79901844659e-06	0.010755877526	0.12408188813	0.127205363137	0.0035577053837	0.104610704211
SMAD3	11	1.39242063845e-12	0.132708317435	0.1444867861	3.52317244069e-18	1.83700483113e-08	0.000617045429798	0.0761089728374	2.74856896405e-07	1.91067296669e-07	1.43206661192e-38	2.23241921114e-23	0.000133859815821	1.46307103057e-10	1.27680396696e-26	4.20911727233e-22
REL	5	8.6604539728e-10	0.0101250705392	0.507452392959	3.5541115022e-14	6.28510784528e-08	0.110188045042	1.85540655281e-07	6.90546865896e-08	1.55956951865e-05	5.72408139125e-08	8.19167181939e-18	1.39201166574e-17	5.21534470903e-08	1.10053086016e-16	1.410438457e-20
UTF1	3	1.91186337539e-10	0.113364386972	0.00155498663309	0.000720933593744	4.23114048051e-06	0.0034305188751	0.311142150042	1.09619283891e-05	0.00767533768663	3.57432432822e-28	2.24765844725e-26	3.64378018172e-08	3.45755315234e-11	6.63927534346e-22	2.68640098123e-22
NCOA3	1	0.0117332861082	0.081930597943	0.0198476951392	0.00417432701664	0.0276492792705	0.00162089396453	0.00010884918041	0.4659693736	0.000229069448704	6.9765358838e-06	0.139251782577	0.491780440414	0.0327762777984	0.0818696954016	0.206847271358
NCOA1	1	0.00175025057677	0.313852578679	9.97160936632e-09	0.000181383704139	0.00448783810318	0.250530037524	1.09997177164e-05	0.289794945575	2.31384268819e-11	0.000108180243009	0.235265302918	0.40105321524	0.154697812118	0.223294370213	0.152525003836
