TF	Number_of_ChIPexp	z_score_mean	K_Virus_0	K_Virus_3	K_Virus_6	K_Virus_9	K_Virus_12	K_Virus_18	K_Virus_24	K_Virus_30	K_Virus_36	K_Virus_48	K_Virus_60	K_Virus_72	K_Virus_D5	K_Virus_D7
GATA4	15	-2.49093435038	1.29531690246	-2.24946034227	7.44243312209	6.3233913064	4.19873386406	-2.74668457638	6.66514092542	-4.69717522409	-14.2011318783	-9.08659207701	-0.943118731186	-6.46531752703	-10.9130957395	-9.49552092997
GATA2	22	-0.531994099441	-2.03466877036	1.29565360291	6.80492430549	4.16004431497	1.75096555921	-3.05065389798	7.81042850469	-2.71243878343	-7.12501574631	-3.09574916615	1.39860958268	-5.09364296749	-5.33830838074	-2.21806554966
GATA3	19	1.52689091248	3.27062735128	2.33556442617	6.18192543946	4.2137888143	-1.36666314209	2.32076237854	6.72197972491	1.57739740432	-3.04561816942	0.554570984068	2.56753472668	-5.90118047373	-0.944536525835	2.890319836
GATA1	49	-1.11370631576	-2.83416860384	-0.924002264294	5.70913291945	5.70892493051	4.1943878123	-3.81483380668	8.28940491338	-3.95740423811	-11.5981684981	-3.16092118044	1.02793680136	-4.44433468401	-5.93425280231	-3.85358971991
NOTC1	5	-1.50538030635	1.59056968285	1.61975300557	6.1885352592	3.44693683779	3.18082066949	-0.794984721101	3.97890983445	-3.62865856576	-9.71639184441	-7.17140237086	-2.54028008076	-4.04440119667	-6.75235640455	-6.43237439409
CCND1	1	-2.95851524418	1.10957488734	-0.361143862163	6.91633368841	5.77104222823	4.53052536039	-1.07797894683	5.67242197989	-4.17040536684	-12.2845506293	-9.81075453623	-6.96084740265	-9.98795619069	-9.98220187102	-10.7832727571
MAX	7	-2.14241853294	4.05257354975	-2.19400676798	10.3216247273	6.13214711216	9.23053708101	-5.2192353106	5.34418205306	-8.58669277388	-12.8673200533	-6.6106077099	-2.5981677193	-7.68932973534	-10.3478124049	-8.96175150918
MAZ	2	-0.80536733565	-0.130994170698	-0.542201779301	10.165531379	4.5873831626	5.23848945738	0.756524183275	10.7469943499	-2.28481753291	-11.9375293406	-4.95712736716	-1.91947401052	-8.89096374515	-6.89822980046	-5.20872748438
AHR	11	-0.723111981774	2.58444031224	2.20432900773	0.577695529473	0.0907841392716	-2.12075952004	-2.15725408864	-2.2874118407	-3.10300759841	0.199237364056	-2.50388942684	-2.54881918563	-1.03256102543	0.60470430175	-0.631055713657
CSN1	2	-3.44073726864	-1.07158848367	-3.29958681427	9.9180127694	3.89906768354	4.61740218049	-6.79892073228	6.51185190635	-7.32806655687	-15.4198355353	-8.43336158999	-3.27736241762	-6.81734298466	-11.3902547592	-9.28033642693
MAF	6	4.79731166112	5.36976367831	-4.48492084864	10.9487611723	5.83004150617	8.99746872071	4.77222774864	10.468087205	0.816294318066	-1.91797948018	7.86531611685	9.24984683973	0.477594410723	2.00853960161	6.76132226633
CTCF	116	1.50052802179	2.63531753112	5.64295214235	10.7862718119	9.28057209391	6.52761534292	5.57723965436	12.5593207579	4.13976598704	-11.1537096358	-7.20101278338	0.923188318906	-4.06346269637	-7.42991550794	-7.21675071188
ATF7	1	-1.57025819866	-0.168733367178	-2.29089393643	4.45208966988	1.15999417382	1.49032405253	-1.80872055871	1.94758713215	-2.82795184865	-2.21143525276	-2.19120992012	-1.62915855152	-5.41820090762	-5.00568445335	-7.48162101333
BACH2	1	3.1383550928	2.05234986648	-2.59814651796	7.08060042132	1.54109476838	2.75298109942	2.44976283186	7.29120257031	0.443924630096	-1.46704808832	7.10021070411	6.74856143081	-0.246112653622	3.40254376855	7.38504646774
SOX17	8	-3.11867078168	3.16381756358	0.788184911256	6.25782031665	4.17495982593	3.23396657273	-4.54947632527	2.17476850501	-7.31290205694	-9.07504658332	-7.84404991479	-4.3407042338	-10.0161043367	-9.6483008716	-10.6683243162
ZIC2	2	-3.96910151117	-3.60364723096	3.11028745376	1.93593508458	-0.153095912756	-1.03039474957	-5.24552814808	-2.22978239155	-7.80627502505	-6.96434931468	-6.60650010236	-5.85943993306	-5.69228911793	-6.56645211028	-8.85588965839
ZIC3	2	-2.38262819005	-2.97885772791	1.40911315959	-2.70814550988	-2.00552172203	-1.49876593944	-2.42821392641	-2.63820694953	-2.92590305594	-2.49479470813	-3.3232675359	-2.33636246941	-3.2120702941	-2.80889035136	-3.40690763018
DMAP1	2	-2.24368782244	2.68767164445	-2.3406417297	7.90502908994	4.76943881912	7.33161922772	-4.49935959446	2.2959102097	-9.82100614635	-8.78506287587	-5.4107522054	-2.49306747674	-5.21176745002	-9.12274142593	-8.71689960056
